predictor,outcome,n,r,p,p_two_tailed,analysis_type,motion_covariate,beta,se,t,r_squared,adj_r_squared,n_groups,z,re_var,log_likelihood,converged,degenerate_re,optimizer
neg_persist_crossrun_mean_z_L,PA_score,80,-0.27594901075152334,0.006612949806463346,0.013225899612926691,correlation,fd_mean_across_runs,,,,,,,,,,,,
neg_persist_crossrun_mean_z_L,PA_score,80,,0.12210419236309643,0.24420838472619286,ols,fd_mean_across_runs,-0.962721343154469,0.8165556852389536,-1.1790026823127708,0.433083040597389,0.06694917098320274,,,,,,,
neg_persist_crossrun_mean_z_L,PA_score,80,,0.042488929530169695,0.08497785906033939,mlm,fd_mean_across_runs,-1.0152594067880805,0.5894082712948888,,,,,-1.7225062087398713,0.3370240857048815,-80.07497552239832,True,False,lbfgs
neg_persist_crossrun_mean_z_L,NA_score,80,0.23357298644000518,0.018525699835791817,0.037051399671583635,correlation,fd_mean_across_runs,,,,,,,,,,,,
neg_persist_crossrun_mean_z_L,NA_score,80,,0.014873068781900511,0.029746137563801022,ols,fd_mean_across_runs,0.45629195514303966,0.20368723137390266,2.2401598375375724,0.4281956363430569,0.05890531814794786,,,,,,,
neg_persist_crossrun_mean_z_L,NA_score,80,,0.014844159736612683,0.029688319473225366,mlm,fd_mean_across_runs,0.3311068699662351,0.15228737948678792,,,,,2.1742239644681858,0.013743054051102661,15.259954660625198,True,False,lbfgs
l_amyg-ant_vmPFC_neg_vs_neu,NA_score,80,-0.18560416441191901,0.04964323270112792,0.09928646540225584,correlation,fd_mean_across_runs,,,,,,,,,,,,
l_amyg-ant_vmPFC_neg_vs_neu,NA_score,80,,0.08257454691448551,0.16514909382897103,ols,fd_mean_across_runs,-0.10422190113038336,0.07394520112778886,-1.40944780108545,0.3935146818344216,0.0018262471858189189,,,,,,,
l_amyg-ant_vmPFC_neg_vs_neu,NA_score,80,,0.000676842942324174,0.001353685884648348,mlm,fd_mean_across_runs,-0.16067955935323863,0.05014422354609042,,,,,-3.2043483374620183,0.02420860482245775,15.574104691154346,True,False,lbfgs
l_amyg-ant_vmPFC_neg_vs_neu,NA_score_log,80,-0.20437188212220453,0.034498976978596635,0.06899795395719327,correlation,fd_mean_across_runs,,,,,,,,,,,,
l_amyg-ant_vmPFC_neg_vs_neu,NA_score_log,80,,0.05107979430667929,0.10215958861335858,ols,fd_mean_across_runs,-1.0177654810455623,0.6107795994932229,-1.6663383680300135,0.5125015150179288,0.19765874346700796,,,,,,,
l_amyg-ant_vmPFC_neg_vs_neu,NA_score_log,80,,0.027167869286485846,0.05433573857297169,mlm,fd_mean_across_runs,-1.0823246950167866,0.5624948624967182,,,,,-1.9241503650588476,0.6246438389738578,-139.98228267211562,True,False,powell
l_amyg-post_vmPFC_neg_vs_neu,NA_score_log,80,-0.2068629942558139,0.032804368452719876,0.06560873690543975,correlation,fd_mean_across_runs,,,,,,,,,,,,
l_amyg-post_vmPFC_neg_vs_neu,NA_score_log,80,,0.3372517878917731,0.6745035757835462,ols,fd_mean_across_runs,-0.24355496759481088,0.5763801450607081,-0.4225596070266405,0.4862121648680249,0.15439085467862435,,,,,,,
l_amyg-post_vmPFC_neg_vs_neu,NA_score_log,80,,0.05060910419392495,0.1012182083878499,mlm,fd_mean_across_runs,-0.8612630954153712,0.5254884573998508,,,,,-1.6389762387492846,4.854570929702123e-10,-140.49541833457698,True,False,powell
