predictor,outcome,n,r,p,p_two_tailed,analysis_type,motion_covariate,beta,se,t,r_squared,adj_r_squared,n_groups,z,re_var,log_likelihood,converged,degenerate_re,optimizer
neg_persist_crossrun_mean_z_L,PA_score,80,-0.27594901075152334,0.006612949806463346,0.013225899612926691,correlation,fd_neg_mean,,,,,,,,,,,,
neg_persist_crossrun_mean_z_L,PA_score,80,,0.10868240083241654,0.21736480166483307,ols,fd_neg_mean,-1.0241464133273606,0.8193263019690796,-1.2499860078530844,0.42609257834206204,0.055444035187977136,,,,,,,
neg_persist_crossrun_mean_z_L,PA_score,80,,0.037272564265196984,0.07454512853039397,mlm,fd_neg_mean,-1.0618152610929872,0.5954372494326962,,,,,-1.7832529995471957,0.33305818700489476,-80.33048109607662,True,False,lbfgs
neg_persist_crossrun_mean_z_L,NA_score,80,0.23357298644000518,0.018525699835791817,0.037051399671583635,correlation,fd_neg_mean,,,,,,,,,,,,
neg_persist_crossrun_mean_z_L,NA_score,80,,0.013931803369250087,0.027863606738500173,ols,fd_neg_mean,0.4610747352898034,0.2032903222874656,2.268060427578122,0.4272917015197506,0.05741759208458952,,,,,,,
neg_persist_crossrun_mean_z_L,NA_score,80,,0.01635258198179812,0.03270516396359624,mlm,fd_neg_mean,0.32611657464474836,0.1526988757261198,,,,,2.1356841895134187,0.01558731030488571,15.360147613638205,True,False,lbfgs
l_amyg-ant_vmPFC_neg_vs_neu,NA_score,80,-0.18560416441191901,0.04964323270112792,0.09928646540225584,correlation,fd_neg_mean,,,,,,,,,,,,
l_amyg-ant_vmPFC_neg_vs_neu,NA_score,80,,0.08134472602484136,0.16268945204968271,ols,fd_neg_mean,-0.10562715754638932,0.07449728526393179,-1.41786586144944,0.39140458138598666,-0.0016466264688970167,,,,,,,
l_amyg-ant_vmPFC_neg_vs_neu,NA_score,80,,0.0007830290810323381,0.0015660581620646763,mlm,fd_neg_mean,-0.1481384235486913,0.04684728980340511,,,,,-3.1621556800906725,0.025992557406665173,16.03085815885882,True,False,lbfgs
l_amyg-ant_vmPFC_neg_vs_neu,NA_score_log,80,-0.20437188212220453,0.034498976978596635,0.06899795395719327,correlation,fd_neg_mean,,,,,,,,,,,,
l_amyg-ant_vmPFC_neg_vs_neu,NA_score_log,80,,0.06103711790185244,0.12207423580370488,ols,fd_neg_mean,-0.9704817655217608,0.6166005596982375,-1.5739229396689354,0.508798668085992,0.19156447455819514,,,,,,,
l_amyg-ant_vmPFC_neg_vs_neu,NA_score_log,80,,0.027089058752107875,0.05417811750421575,mlm,fd_neg_mean,-1.0768233857733176,0.5592697289502235,,,,,-1.9254097442294391,0.7406351532977776,-139.79756940012712,True,False,powell
l_amyg-post_vmPFC_neg_vs_neu,NA_score_log,80,-0.20686299425581395,0.03280436845271972,0.06560873690543945,correlation,fd_neg_mean,,,,,,,,,,,,
l_amyg-post_vmPFC_neg_vs_neu,NA_score_log,80,,0.35717918381107144,0.7143583676221429,ols,fd_neg_mean,-0.2123979570109783,0.5768874250996665,-0.3681792110034001,0.48490292035737503,0.15223605642151317,,,,,,,
l_amyg-post_vmPFC_neg_vs_neu,NA_score_log,80,,0.04966466108360257,0.09932932216720514,mlm,fd_neg_mean,-0.8642802181235173,0.5244056697658811,,,,,-1.6481137942489674,0.0010282157000404471,-140.33960170990284,True,False,powell
