sample,outcome,age_var,r,p,n
daily_diary_full,PA_score,C2PAGE,0.1447741238573062,6.310105880596534e-07,1174
daily_diary_full,NA_score,C2PAGE,-0.11051945775722836,0.0001480015803761997,1174
daily_diary_full,NA_score_log,C2PAGE,-0.1457687554864002,5.273940828900805e-07,1174
neuro_sample,PA_score,C2PAGE,0.10208563095961716,0.23521286455180046,137
neuro_sample,PA_score,C5PAGE,0.09897380089626091,0.2498672631777828,137
neuro_sample,NA_score,C2PAGE,-0.07837108082785328,0.3626610856190639,137
neuro_sample,NA_score,C5PAGE,-0.07276420426536404,0.39811061701311073,137
neuro_sample,NA_score_log,C2PAGE,-0.20670473108728887,0.015372520578704241,137
neuro_sample,NA_score_log,C5PAGE,-0.20147682076192583,0.018231538694181877,137
neuro_sample,C5SPGP,C5PAGE,-0.01994172860048412,0.7630532004171096,231
neuro_sample,C5SPGN,C5PAGE,-0.12277298808851676,0.06247366186885136,231
