outcome,age_var,beta_age,se_age,z_age,p_age,n,n_groups,group_var,log_likelihood,converged,optimizer,sample
PA_score,C2PAGE,0.009465014021343018,0.001989317961264731,4.757919148995936,1.955988070754491e-06,1173,8,0.16383259565672317,-1229.4930903369495,True,powell,daily_diary_full
NA_score,C2PAGE,-0.0025180545442839396,0.0007055546928015141,-3.5689005685521193,0.00035848243568208115,1173,8,0.025092580109711857,-16.660941193961662,True,powell,daily_diary_full
NA_score_log,C2PAGE,-0.02087976476029392,0.004175972848361865,-4.999976177643146,5.733739823027933e-07,1173,8,0.4288855848770733,-2101.522009712541,True,powell,daily_diary_full
PA_score,C2PAGE,0.00794796460662704,0.00638696753018518,1.2444034777168504,0.21335110361672183,137,7,0.2623058311249119,-141.43481067279436,True,lbfgs,neuro_sample
PA_score,C5PAGE,0.007736002929566676,0.0064361571841552775,1.201959913069152,0.22937905975730843,137,7,0.26379462889506505,-141.47872987060578,True,lbfgs,neuro_sample
NA_score,C2PAGE,-0.0030090304912310556,0.002419699054816506,-1.2435556749263765,0.21366313822977911,137,7,0.05192974095516128,-10.059973970959675,True,lbfgs,neuro_sample
NA_score,C5PAGE,-0.0027632575559614863,0.002441411793366981,-1.1318277250355393,0.25770686915306185,137,7,0.05205530187877887,-10.183688731574932,True,lbfgs,neuro_sample
NA_score_log,C2PAGE,-0.030237982915773908,0.013566819379497077,-2.228818860924117,0.025825959491086466,137,7,2.1460349357270236e-10,-245.90052614357404,True,powell,neuro_sample
NA_score_log,C5PAGE,-0.02900985481677071,0.013670856282114056,-2.122021782551037,0.03383590889070933,137,7,2.2741458008938385e-10,-246.12933657176387,True,powell,neuro_sample
C5SPGP,C5PAGE,-0.0009230772055399563,0.005325319558373237,-0.17333742988034603,0.8623862041753958,231,8,0.044043357261135285,-262.43870204599625,True,powell,neuro_sample
C5SPGN,C5PAGE,-0.008679581071023235,0.004868277290806033,-1.78288551628212,0.07460494125657849,231,8,0.29833590352808276,-212.20146929642533,True,lbfgs,neuro_sample
