persistence_var,affect_var,n,r,p
neg_persist_crossrun_mean_z_L,PA_score,83,-0.2773976913759314,0.011119417307927744
neg_persist_crossrun_mean_z_L,NA_score,83,0.2318976472774233,0.03490183220996967
neg_persist_crossrun_mean_z_L,NA_score_log,83,0.13138010069544082,0.23644581382114663
neg_persist_crossrun_mean_z_L,C5SPGP,131,-0.19738207193110763,0.02383560022048527
neg_persist_crossrun_mean_z_L,C5SPGN,131,-0.025693419232961326,0.7708186212569826
neg_persist_crossrun_mean_z_L,C5SPGN_log,131,-0.01800011194240128,0.838304505438319
neg_persist_crossrun_mean_z_R,PA_score,83,-0.0106635360818437,0.9237756768967219
neg_persist_crossrun_mean_z_R,NA_score,83,-0.007221361282036508,0.9483389597781293
neg_persist_crossrun_mean_z_R,NA_score_log,83,0.05156686019263458,0.6433787648973645
neg_persist_crossrun_mean_z_R,C5SPGP,131,-0.12035921768352315,0.17088838187333713
neg_persist_crossrun_mean_z_R,C5SPGN,131,0.016010377753662836,0.8559731621341614
neg_persist_crossrun_mean_z_R,C5SPGN_log,131,-0.010718332119687358,0.9032913316542058
neg_persist_crossrun_mean_z_bilateral,PA_score,83,-0.24133158581388606,0.02795710607098141
neg_persist_crossrun_mean_z_bilateral,NA_score,83,0.13612236304975078,0.21980491347315834
neg_persist_crossrun_mean_z_bilateral,NA_score_log,83,0.12570686588746807,0.25747708103062594
neg_persist_crossrun_mean_z_bilateral,C5SPGP,131,-0.2664054119541718,0.0021000299139529188
neg_persist_crossrun_mean_z_bilateral,C5SPGN,131,-0.04371203437595567,0.6200714015038653
neg_persist_crossrun_mean_z_bilateral,C5SPGN_log,131,-0.05268340971230454,0.5500899758597546
pos_persist_crossrun_mean_z_L,PA_score,83,0.008946791914076303,0.9360188570857529
pos_persist_crossrun_mean_z_L,NA_score,83,0.05763283197320315,0.604787841551482
pos_persist_crossrun_mean_z_L,NA_score_log,83,-0.03145110488683286,0.7777460222620494
pos_persist_crossrun_mean_z_L,C5SPGP,131,-0.06956861930851412,0.4297759271578372
pos_persist_crossrun_mean_z_L,C5SPGN,131,-0.07613007040403919,0.3874491993297858
pos_persist_crossrun_mean_z_L,C5SPGN_log,131,-0.10137956998562486,0.2492419308789792
pos_persist_crossrun_mean_z_R,PA_score,83,0.2996838273277517,0.005915863415445606
pos_persist_crossrun_mean_z_R,NA_score,83,-0.1621167020535809,0.14312297152395062
pos_persist_crossrun_mean_z_R,NA_score_log,83,-0.05569213032577886,0.6170236030740412
pos_persist_crossrun_mean_z_R,C5SPGP,131,0.005139684196872184,0.9535391744517885
pos_persist_crossrun_mean_z_R,C5SPGN,131,-0.04472938339349937,0.6119453185848103
pos_persist_crossrun_mean_z_R,C5SPGN_log,131,-0.06437058332419149,0.46511402173297844
pos_persist_crossrun_mean_z_bilateral,PA_score,83,0.15283597292569223,0.16777014980586277
pos_persist_crossrun_mean_z_bilateral,NA_score,83,-0.06435326352424724,0.5632679373269575
pos_persist_crossrun_mean_z_bilateral,NA_score_log,83,-0.07053283842667235,0.5263227149217207
pos_persist_crossrun_mean_z_bilateral,C5SPGP,131,-0.06334551488654482,0.4722665123127169
pos_persist_crossrun_mean_z_bilateral,C5SPGN,131,-0.10292476974891793,0.24206245812039007
pos_persist_crossrun_mean_z_bilateral,C5SPGN_log,131,-0.13472185300046038,0.12498372238666722
neg_persist_concat_z_L,PA_score,84,-0.08157809673424532,0.4606947232547967
neg_persist_concat_z_L,NA_score,84,0.10763032885616358,0.3298073712783539
neg_persist_concat_z_L,NA_score_log,84,0.02384792548726971,0.8295136045151649
neg_persist_concat_z_L,C5SPGP,132,-0.11454997682902188,0.19091702396442267
neg_persist_concat_z_L,C5SPGN,132,-0.03977880576609682,0.6506523287350178
neg_persist_concat_z_L,C5SPGN_log,132,-0.046482412021018715,0.5966326778402845
neg_persist_concat_z_R,PA_score,84,0.02719525129248103,0.8060234046847955
neg_persist_concat_z_R,NA_score,84,0.18801983145014148,0.08676393540498765
neg_persist_concat_z_R,NA_score_log,84,0.175407114337373,0.1105012112347824
neg_persist_concat_z_R,C5SPGP,132,0.00013463223734117014,0.9987775658911093
neg_persist_concat_z_R,C5SPGN,132,0.11014889223384988,0.20864231855187967
neg_persist_concat_z_R,C5SPGN_log,132,0.10502980274879706,0.23070628033766363
neg_persist_concat_z_bilateral,PA_score,84,-0.06607861544397191,0.5503743635832283
neg_persist_concat_z_bilateral,NA_score,84,0.18930666781658628,0.08458898026149156
neg_persist_concat_z_bilateral,NA_score_log,84,0.14097613098159975,0.2008596518490008
neg_persist_concat_z_bilateral,C5SPGP,132,-0.08268269465255076,0.34592047039591783
neg_persist_concat_z_bilateral,C5SPGN,132,0.04898316314403273,0.5770110002905819
neg_persist_concat_z_bilateral,C5SPGN_log,132,0.04592494202417091,0.6010473477280538
