persistence_var,affect_var,n,r,p,p_one_tailed,tier
neg_persist_crossrun_mean_z_L,PA_score,94,-0.22311287741588876,0.030653461163410934,0.015326730581705467,primary
neg_persist_crossrun_mean_z_L,NA_score,94,0.09690471763140812,0.3528142532042439,0.17640712660212196,primary
neg_persist_crossrun_mean_z_L,NA_score_log,94,0.07753977313834269,0.4575805632794666,0.2287902816397333,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGP,152,-0.15769352135907194,0.05234507070312534,0.02617253535156267,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGN,152,-0.05388733883319384,0.5096628773393814,0.2548314386696907,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGN_log,152,-0.04891067585297994,0.5495785533036796,0.2747892766518398,sensitivity
neg_persist_crossrun_mean_z_R,PA_score,94,0.04115652851668254,0.6936878493757863,0.34684392468789316,secondary
neg_persist_crossrun_mean_z_R,NA_score,94,-0.12337134651539858,0.23615297627522963,0.11807648813761482,secondary
neg_persist_crossrun_mean_z_R,NA_score_log,94,-0.025464326319888278,0.8075236047880268,0.4037618023940134,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGP,152,-0.12019997556803622,0.14020044319159292,0.07010022159579646,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGN,152,0.02684562077211032,0.7426833046776282,0.3713416523388141,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGN_log,152,0.00591646926150291,0.9423300440023905,0.47116502200119526,sensitivity
neg_persist_crossrun_mean_z_bilateral,PA_score,94,-0.15395717738769227,0.13846091427498278,0.06923045713749139,sensitivity
neg_persist_crossrun_mean_z_bilateral,NA_score,94,-0.04529436977793213,0.6646573301420549,0.33232866507102743,sensitivity
neg_persist_crossrun_mean_z_bilateral,NA_score_log,94,0.03049667686073447,0.7704487262322794,0.3852243631161397,sensitivity
neg_persist_crossrun_mean_z_bilateral,C5SPGP,152,-0.22401688662547212,0.005530069672242273,0.0027650348361211363,sensitivity
neg_persist_crossrun_mean_z_bilateral,C5SPGN,152,-0.04718556935178796,0.5637623567300623,0.2818811783650311,sensitivity
neg_persist_crossrun_mean_z_bilateral,C5SPGN_log,152,-0.05448782511867077,0.5049502880482809,0.25247514402414045,sensitivity
pos_persist_crossrun_mean_z_L,PA_score,94,-0.01259635957754869,0.9040894893930509,0.45204474469652545,sensitivity
pos_persist_crossrun_mean_z_L,NA_score,94,0.04837749874980157,0.6433408364094201,0.32167041820471004,sensitivity
pos_persist_crossrun_mean_z_L,NA_score_log,94,-0.033878798231773574,0.7458128620048875,0.37290643100244375,sensitivity
pos_persist_crossrun_mean_z_L,C5SPGP,152,-0.02285906856591599,0.7798338245971149,0.38991691229855746,sensitivity
pos_persist_crossrun_mean_z_L,C5SPGN,152,-0.09015863782045291,0.2693217484540435,0.13466087422702175,sensitivity
pos_persist_crossrun_mean_z_L,C5SPGN_log,152,-0.1121041542131795,0.16911842411092873,0.08455921205546436,sensitivity
pos_persist_crossrun_mean_z_R,PA_score,94,0.3061292012746548,0.002693481389733131,0.0013467406948665655,sensitivity
pos_persist_crossrun_mean_z_R,NA_score,94,-0.17596229168661812,0.08979967644089425,0.04489983822044712,sensitivity
pos_persist_crossrun_mean_z_R,NA_score_log,94,-0.09098097074749409,0.3831530288368193,0.19157651441840964,sensitivity
pos_persist_crossrun_mean_z_R,C5SPGP,152,0.017491058955848317,0.8306402612793756,0.4153201306396878,sensitivity
pos_persist_crossrun_mean_z_R,C5SPGN,152,-0.05874825870090681,0.47217825875410835,0.23608912937705417,sensitivity
pos_persist_crossrun_mean_z_R,C5SPGN_log,152,-0.07579506047249876,0.35336286846082793,0.17668143423041396,sensitivity
pos_persist_crossrun_mean_z_bilateral,PA_score,94,0.14619934429313222,0.1597071616337146,0.0798535808168573,sensitivity
pos_persist_crossrun_mean_z_bilateral,NA_score,94,-0.07322866874138731,0.48304009893624994,0.24152004946812497,sensitivity
pos_persist_crossrun_mean_z_bilateral,NA_score_log,94,-0.09064464563142027,0.38492139541264936,0.19246069770632468,sensitivity
pos_persist_crossrun_mean_z_bilateral,C5SPGP,152,-0.02117626400276169,0.7956719961529032,0.3978359980764516,sensitivity
pos_persist_crossrun_mean_z_bilateral,C5SPGN,152,-0.11759392773045582,0.14906602447658454,0.07453301223829227,sensitivity
pos_persist_crossrun_mean_z_bilateral,C5SPGN_log,152,-0.14560158245102597,0.07348140710025268,0.03674070355012634,sensitivity
neg_persist_concat_z_L,PA_score,95,-0.04935409794913609,0.6348114344206756,0.3174057172103378,sensitivity
neg_persist_concat_z_L,NA_score,95,0.016473840823088504,0.8741004474597576,0.4370502237298788,sensitivity
neg_persist_concat_z_L,NA_score_log,95,-0.0014458516358399343,0.9889050829095104,0.4944525414547552,sensitivity
neg_persist_concat_z_L,C5SPGP,150,-0.09156981437314934,0.26508276191780844,0.13254138095890422,sensitivity
neg_persist_concat_z_L,C5SPGN,150,-0.035783059165146375,0.6637625717993593,0.33188128589967963,sensitivity
neg_persist_concat_z_L,C5SPGN_log,150,-0.04160753742484048,0.6131780179270561,0.30658900896352803,sensitivity
neg_persist_concat_z_R,PA_score,95,0.04486172190096195,0.6659689893675882,0.3329844946837941,sensitivity
neg_persist_concat_z_R,NA_score,95,0.03254009177091211,0.754245839441826,0.377122919720913,sensitivity
neg_persist_concat_z_R,NA_score_log,95,0.12211413548344396,0.23844484640473285,0.11922242320236642,sensitivity
neg_persist_concat_z_R,C5SPGP,150,0.029610804591955996,0.7190700585550367,0.35953502927751835,sensitivity
neg_persist_concat_z_R,C5SPGN,150,0.10065313348911287,0.22036935483623746,0.11018467741811873,sensitivity
neg_persist_concat_z_R,C5SPGN_log,150,0.09360706278917966,0.25455271332459933,0.12727635666229967,sensitivity
neg_persist_concat_z_bilateral,PA_score,95,-0.032358847593245754,0.7555715847027021,0.37778579235135107,sensitivity
neg_persist_concat_z_bilateral,NA_score,95,0.03327733152678768,0.7488605350155053,0.37443026750775266,sensitivity
neg_persist_concat_z_bilateral,NA_score_log,95,0.08762955903117786,0.3984311465402123,0.19921557327010614,sensitivity
neg_persist_concat_z_bilateral,C5SPGP,150,-0.04623724093456941,0.5742171298068428,0.2871085649034214,sensitivity
neg_persist_concat_z_bilateral,C5SPGN,150,0.04333023280437415,0.5985458813820924,0.2992729406910462,sensitivity
