persistence_var,affect_var,n,n_groups,beta_persistence,se_persistence,z_persistence,p_persistence,p_persistence_one_tailed,group_var,log_likelihood,converged,optimizer,tier
neg_persist_crossrun_mean_z_L,PA_score,94,8,-1.0592628460907072,0.5039399668162508,-2.1019623682218107,0.03555657241541526,0.01777828620770763,0.34111919920291844,-93.96307866670492,True,lbfgs,primary
neg_persist_crossrun_mean_z_L,NA_score,94,8,0.28741835460627124,0.16454867369246431,1.746707209220331,0.08068813921910395,0.040344069609551975,0.025344507014980984,7.463240135726778,True,lbfgs,primary
neg_persist_crossrun_mean_z_L,NA_score_log,94,8,1.3723891372497754,1.2746987840185975,1.0766379904460257,0.2816420250329309,0.14082101251646545,1.9235549149074442e-10,-165.83170276374113,True,powell,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGP,152,8,-0.758673897164658,0.39519294549421474,-1.9197556682493067,0.05488876895396073,0.027444384476980364,0.017603696812613968,-145.15383949992082,True,powell,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGN,152,8,-0.20920974852467752,0.28915108156142894,-0.7235309216031128,0.469353763831749,0.2346768819158745,1.7885882933332772e-11,-88.97803098162615,True,powell,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGN_log,152,8,-0.09136279667308823,0.12641925587856107,-0.7226968394818885,0.46986615772684326,0.23493307886342163,3.5765787250223155e-12,25.02245698261993,True,powell,sensitivity
neg_persist_crossrun_mean_z_R,PA_score,94,8,-0.04043665869368782,0.5304073360732038,-0.07623698984455031,0.9392305546668467,0.46961527733342334,0.3698598478494874,-96.18275062050321,True,lbfgs,secondary
neg_persist_crossrun_mean_z_R,NA_score,94,8,-0.12078572096941993,0.17511025452738843,-0.6897695471656585,0.4903391222033917,0.24516956110169585,0.027094108445421906,6.225993848551127,True,lbfgs,secondary
neg_persist_crossrun_mean_z_R,NA_score_log,94,8,0.1036618548808183,1.3507722936511355,0.07674265704741431,0.9388282691645444,0.4694141345822722,1.9954577994029086e-10,-166.35690586858954,True,powell,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGP,152,8,-0.6818901959938528,0.43261466121784553,-1.5762068582564361,0.1149781384949144,0.0574890692474572,0.03389550646549213,-145.64938086431113,True,powell,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGN,152,8,0.09545211601939989,0.2932587631504145,0.3254876853260198,0.7448120013590223,0.37240600067951113,9.28114370449694e-10,-89.13864239175717,True,powell,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGN_log,152,8,0.0036179908550801254,0.13289189692822034,0.027225067432323065,0.9782802221941774,0.4891401110970887,3.492437167026689e-05,24.831068657185597,True,powell,sensitivity
neg_persist_crossrun_mean_z_bilateral,PA_score,94,8,-1.110882185790802,0.6420896416604754,-1.7301045114479747,0.08361160435150261,0.041805802175751305,0.35681722714146175,-94.47482556394004,True,lbfgs,sensitivity
