specification,age_predictor,outcome,outcome_role,path,predictor,term,beta,se,z,p_two_tailed,n,n_covariates,optimizer,converged,ci_low,ci_high,ci_level,ci_sidedness,ci_method,ci_status
primary_c5page,C5PAGE,neg_persist_crossrun_mean_z_L,mediator_model,a,C5PAGE,C5PAGE,-0.0013248197814481916,0.0015734661602858147,-0.8419753884046306,0.3998017298206187,81,4,powell,True,-0.004408756786500916,0.0017591172236045333,95.0,two-sided,wald_normal,ok
primary_c5page,C5PAGE,PA_score,primary,b,neg_persist_crossrun_mean_z_L,neg_persist_crossrun_mean_z_L,-0.6995706141184754,0.4760595215276783,-1.4695024098531808,0.14169656866368485,81,7,lbfgs,True,-1.6326301308100954,0.23348890257314447,95.0,two-sided,wald_normal,ok
primary_c5page,C5PAGE,PA_score,primary,c_prime,C5PAGE,C5PAGE,0.00994501870662177,0.007993208913877075,1.2441835079971628,0.21343203206416472,81,7,lbfgs,True,-0.005721382885481819,0.02561142029872536,95.0,two-sided,wald_normal,ok
primary_c5page,C5PAGE,PA_score,primary,c_total,C5PAGE,C5PAGE,0.010658725907626053,0.008236012501785068,1.2941609674968182,0.19560982604742705,81,6,lbfgs,True,-0.0054835619720943075,0.026801013787346416,95.0,two-sided,wald_normal,ok
primary_c5page,C5PAGE,NA_score,primary,b,neg_persist_crossrun_mean_z_L,neg_persist_crossrun_mean_z_L,0.27792707372427095,0.1357241284390131,2.047735188435238,0.04058595393103581,81,7,powell,True,0.011912670150716731,0.5439414772978252,95.0,two-sided,wald_normal,ok
primary_c5page,C5PAGE,NA_score,primary,c_prime,C5PAGE,C5PAGE,-0.004344340969295118,0.0019010739461421992,-2.285203570387663,0.022300893951895384,81,7,powell,True,-0.008070377435681265,-0.0006183045029089689,95.0,two-sided,wald_normal,ok
primary_c5page,C5PAGE,NA_score,primary,c_total,C5PAGE,C5PAGE,-0.004616833909803392,0.0019356452417438716,-2.3851653238090105,0.017071447606306966,81,6,powell,True,-0.008410628870467706,-0.0008230389491390776,95.0,two-sided,wald_normal,ok
primary_c5page,C5PAGE,NA_score_log,robustness_log_na,b,neg_persist_crossrun_mean_z_L,neg_persist_crossrun_mean_z_L,1.9500893839275775,1.2731125524149542,1.531749396570219,0.12558428773884445,81,7,powell,True,-0.5451653670715948,4.445344134926749,95.0,two-sided,wald_normal,ok
primary_c5page,C5PAGE,NA_score_log,robustness_log_na,c_prime,C5PAGE,C5PAGE,-0.05759740243147153,0.016857892762176068,-3.4166430670802703,0.0006339834200699279,81,7,powell,True,-0.09063826510057507,-0.024556539762367983,95.0,two-sided,wald_normal,ok
primary_c5page,C5PAGE,NA_score_log,robustness_log_na,c_total,C5PAGE,C5PAGE,-0.05854172301780394,0.016970550765818895,-3.4496065464012697,0.0005614041394117475,81,6,powell,True,-0.0918033913166176,-0.025280054718990273,95.0,two-sided,wald_normal,ok
