predictor,outcome,n,r,p,p_two_tailed
l_amyg-ant_vmPFC_neu,PA_score,80,-0.06274049536889191,0.5803447269618791,0.5803447269618791
l_amyg-ant_vmPFC_neu,NA_score,80,0.08864293920007771,0.434267888286196,0.434267888286196
l_amyg-post_vmPFC_neu,PA_score,80,0.0005769431489084237,0.9959474664317645,0.9959474664317645
l_amyg-post_vmPFC_neu,NA_score,80,0.11187540771383953,0.3231519950212569,0.3231519950212569
l_amyg-ant_minus_post_vmPFC_neu,PA_score,80,-0.07701796452421128,0.4971141283519823,0.4971141283519823
l_amyg-ant_minus_post_vmPFC_neu,NA_score,80,-0.0091786270656978,0.9355964372390275,0.9355964372390275
l_amyg-ant_vmPFC_pos,PA_score,80,-0.14347591067738555,0.20420182305339976,0.20420182305339976
l_amyg-ant_vmPFC_pos,NA_score,80,0.17749690187903489,0.11522654119043006,0.11522654119043006
l_amyg-post_vmPFC_pos,PA_score,80,-0.10922591483639568,0.33481530569905515,0.33481530569905515
l_amyg-post_vmPFC_pos,NA_score,80,0.2636109577635978,0.018144600351231537,0.018144600351231537
l_amyg-ant_minus_post_vmPFC_pos,PA_score,80,-0.04390552251133447,0.6989716982505461,0.6989716982505461
l_amyg-ant_minus_post_vmPFC_pos,NA_score,80,-0.08205036241726764,0.46934090218064806,0.46934090218064806
