predictor,outcome,n,n_groups,beta,se,z,p,p_two_tailed,re_var,log_likelihood,converged,degenerate_re,optimizer
l_amyg-ant_vmPFC_neu,PA_score,80,,-0.1704760195817695,0.2068559878154971,-0.8241290057980999,0.4098662605826777,0.4098662605826777,0.39538622498631226,-83.45196304169542,True,False,lbfgs
l_amyg-ant_vmPFC_neu,NA_score,80,,0.04577784985143106,0.05459140526999356,0.8385541574727164,0.40171954472555993,0.40171954472555993,0.01369612522300805,12.654679133531062,True,False,lbfgs
l_amyg-post_vmPFC_neu,PA_score,80,,0.04764260172712943,0.22650332251231112,0.21033952702631953,0.8334026871586815,0.8334026871586815,0.39320374477443004,-83.689623768995,True,False,lbfgs
l_amyg-post_vmPFC_neu,NA_score,80,,0.041991926995043914,0.06574201791089883,0.6387380297933084,0.5229933683600003,0.5229933683600003,0.012626428304487507,12.661385107788732,True,False,lbfgs
l_amyg-ant_minus_post_vmPFC_neu,PA_score,80,,-0.3075535608292573,0.24968462900991964,-1.2317680990167743,0.21803572311316288,0.21803572311316288,0.387256390483195,-82.84551696004019,True,False,lbfgs
l_amyg-ant_minus_post_vmPFC_neu,NA_score,80,,0.025623764675465028,0.0680736509589421,0.37641237563297036,0.7066103469742688,0.7066103469742688,0.014702455521456327,12.580017272593892,True,False,lbfgs
l_amyg-ant_vmPFC_pos,PA_score,80,,-0.32639860823648387,0.23497115595215445,-1.389100746914426,0.16480211668385492,0.16480211668385492,0.38602939865815505,-82.6989498985271,True,False,lbfgs
l_amyg-ant_vmPFC_pos,NA_score,80,,0.09595093680489356,0.07094088306019757,1.3525478210282986,0.17620013161859793,0.17620013161859793,0.010343431707320922,13.443842147182593,True,False,powell
l_amyg-post_vmPFC_pos,PA_score,80,,-0.20715353412468662,0.23628574010357103,-0.8767077269829533,0.3806454087145694,0.3806454087145694,0.38720767255987576,-83.28393375947803,True,False,lbfgs
l_amyg-post_vmPFC_pos,NA_score,80,,0.1677061230269826,0.08754108164047511,1.9157419566248852,0.055397949099942556,0.055397949099942556,4.341383210851518e-11,14.80374770274338,True,True,powell
l_amyg-ant_minus_post_vmPFC_pos,PA_score,80,,-0.14842398235187954,0.27043406116888236,-0.548836125561827,0.5831179161282374,0.5831179161282374,0.39274009308939234,-83.37699723214362,True,False,lbfgs
l_amyg-ant_minus_post_vmPFC_pos,NA_score,80,,-0.04987607213420666,0.07839390075227949,-0.6362238854756362,0.524630507054265,0.524630507054265,0.013853901142224697,12.866976767846637,True,False,lbfgs
