predictor,outcome,n,beta,se,t,p,p_two_tailed,r_squared,adj_r_squared
l_amyg-ant_vmPFC_neu,PA_score,80,-0.32002695457744856,0.2552153830538566,-1.2539485306413334,0.21581018691142054,0.21581018691142054,0.41463835103472724,0.05625366799476428
l_amyg-ant_vmPFC_neu,NA_score,80,0.007630619657847202,0.06602026130777063,0.11557996752353165,0.9084578092802821,0.9084578092802821,0.36505359667897264,-0.023689099231860355
l_amyg-post_vmPFC_neu,PA_score,80,0.20817460279941535,0.32072839327794084,0.6490682058791496,0.5193251216171684,0.5193251216171684,0.4010043834116819,0.034272373255568755
l_amyg-post_vmPFC_neu,NA_score,80,-0.021924945464399395,0.08196915893205026,-0.26747798501353975,0.7902238247361035,0.7902238247361035,0.3658064735041091,-0.02247527741174249
l_amyg-ant_minus_post_vmPFC_neu,PA_score,80,-0.6710928014041783,0.2999667884967338,-2.2372236765520643,0.029853138262232033,0.029853138262232033,0.45184625991698224,0.11624192925391008
l_amyg-ant_minus_post_vmPFC_neu,NA_score,80,0.03221389043712188,0.0800658835288322,0.4023422838457964,0.6891819763016017,0.6891819763016017,0.3669718026599117,-0.020596481425856572
l_amyg-ant_vmPFC_pos,PA_score,80,-0.47457477989758046,0.33501266534202656,-1.416587577108674,0.1629299632691729,0.1629299632691729,0.4196228342637952,0.06428987564979227
l_amyg-ant_vmPFC_pos,NA_score,80,0.07029626248531476,0.08646456921062741,0.8130065658925946,0.42014712456423897,0.42014712456423897,0.3733338318632048,-0.010339332302180093
l_amyg-post_vmPFC_pos,PA_score,80,-0.310951466861466,0.36390671631182764,-0.8544812528137434,0.3969968861373635,0.3969968861373635,0.4047244414988581,0.04027001792673046
l_amyg-post_vmPFC_pos,NA_score,80,0.12520074285236216,0.09163332055044567,1.3663233210395018,0.1780752318589678,0.1780752318589678,0.38818970873948444,0.013611979396311646
l_amyg-ant_minus_post_vmPFC_pos,PA_score,80,-0.2554414945534971,0.38047366128723104,-0.6713776025632865,0.5051329305342811,0.5051329305342811,0.40136121162725946,0.034847667725581566
l_amyg-ant_minus_post_vmPFC_pos,NA_score,80,-0.04818777132253218,0.09709459979125108,-0.49629713110856494,0.6219038801806052,0.6219038801806052,0.36805711316687917,-0.01884669509829684
