fc_var,condition,seed_target,affect_var,n,r,p,tier
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,PA_score,82,0.1351648525926832,0.2259932517675535,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score,82,-0.04500575804852338,0.6880583502246049,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score_log,82,-0.04849947304738834,0.6652371538207057,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGP,130,0.11050622286540132,0.2107036029220639,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN,130,-0.24293763510697614,0.00535256599327213,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN_log,130,-0.25918040170063605,0.002904911645025132,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,PA_score,82,-0.025226593992448587,0.8220062181693356,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score,82,0.06352206751840117,0.5707419234529044,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score_log,82,0.09026673470076976,0.4199547839182057,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGP,130,0.08431962429503036,0.3401817246486468,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGN,130,-0.06258562485244812,0.4793254739402812,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGN_log,130,-0.0698782612125119,0.42952420774054006,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,PA_score,82,-0.09467390659321943,0.3975248877774568,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,NA_score,82,0.17818897128728145,0.10923418337994625,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,NA_score_log,82,0.17019193861873128,0.126346324331948,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGP,130,-0.023971817650437446,0.7866064731041068,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGN,130,0.023084875717046517,0.7943233186372058,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGN_log,130,0.023725935565621636,0.7887437329341407,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,PA_score,82,0.14064910470171643,0.20754137528564207,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,NA_score,82,-0.10013239725064134,0.3707498829955558,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,NA_score_log,82,-0.12899810424927266,0.24807900655290166,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,C5SPGP,130,0.01830177767085099,0.8362642452651903,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,C5SPGN,130,-0.15901062942094524,0.07076152145061307,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,C5SPGN_log,130,-0.16663532174754017,0.05811154769076325,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,PA_score,82,0.19504943863610186,0.07908144682239678,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,NA_score,82,-0.1918655911330948,0.08419877798251343,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,NA_score_log,82,-0.18786912609612114,0.09099049528790334,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,C5SPGP,130,0.12078543268597888,0.17103610494145313,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,C5SPGN,130,-0.2387141168400996,0.006235541388993468,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,C5SPGN_log,130,-0.25385723003417776,0.0035641729138933312,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,PA_score,82,0.07859063659934315,0.4827854112828409,primary
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,NA_score,82,-0.009336812393253804,0.9336509694380115,primary
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,NA_score_log,82,-0.05163810300441915,0.644990971352004,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,C5SPGP,130,0.05626047240227968,0.5249221007280901,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,C5SPGN,130,-0.18338328544973065,0.03675797846216581,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,C5SPGN_log,130,-0.20182991326526384,0.021293452678262055,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,PA_score,82,-0.02164125900607336,0.8469715019813371,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,NA_score,82,0.17743424180590373,0.11076795306246803,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,NA_score_log,82,0.1998181665724647,0.07188426039415025,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGP,130,-0.06098457866384754,0.4906612589495739,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGN,130,0.10276087667586849,0.24465872289687565,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGN_log,130,0.07331846750328154,0.4071033785281804,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,PA_score,82,-0.08178286088675943,0.4651268327522279,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,NA_score,82,0.2509698683498638,0.02294975950064227,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,NA_score_log,82,0.2695182913645858,0.014340518973956884,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGP,130,0.004187085663935525,0.9622906713788334,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGN,130,0.10392508193238356,0.23932597005606185,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGN_log,130,0.10805102634486262,0.22108100665578992,sensitivity
