fc_var,condition,seed_target,affect_var,n,beta_fc,se_fc,t_fc,p_fc,r_squared,adj_r_squared,tier
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,PA_score,82,0.17441727990480715,0.28760840518459324,0.606440134435092,0.5468114424477446,0.35014360579605197,0.006823246593966159,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score,82,-0.052247091069288196,0.07285274375887815,-0.7171602382226152,0.47642410702233884,0.32755929457001154,-0.02769239886469932,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score_log,82,-0.2382305661433499,0.6526116263471742,-0.365041866441737,0.7165328536286892,0.3612443974440841,0.023788607414543583,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGP,130,0.07755771466749423,0.1975315176758751,0.39263463157690554,0.695583934217193,0.37553785051919764,0.041004556154482064,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN,130,-0.3364987755748491,0.14592682504135074,-2.305941868326791,0.023578018271247222,0.24869420402454467,-0.1537910438194494,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN_log,130,-0.15515080275590354,0.06253180411131912,-2.481150271623446,0.015090031968743405,0.3082955926236379,-0.062260339899413264,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,PA_score,82,-0.31687923781577365,0.2656804284405709,-1.1927082460522878,0.23829609558803705,0.3627387092967693,0.02607236703845872,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score,82,-0.01239607584358448,0.06826779112776907,-0.181580151324717,0.8566048993096798,0.32145596649737385,-0.03702012667382504,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score_log,82,0.20587714061155876,0.6088917783731729,0.33811778697623074,0.7366101429251836,0.36101672111842087,0.023440649256454504,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGP,130,-0.09958141124927208,0.19044657282173785,-0.5228837136517152,0.6024316854506033,0.3764214537359051,0.042361518237282736,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGN,130,-0.045608766279912547,0.14509498775088048,-0.3143372971519878,0.7540442646329584,0.20207363420201385,-0.22538691890405027,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGN_log,130,-0.0253792863569911,0.062441955547923436,-0.4064460527267249,0.6854485579516201,0.2590598308337837,-0.13787240264811795,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,PA_score,82,-0.288340112512281,0.27424841306597747,-1.0513829753425534,0.29785299091551065,0.3590033084737465,0.02036354691270681,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,NA_score,82,0.05503364824364766,0.06987789124994413,0.7875688183949263,0.4344570568672633,0.3288879395040364,-0.025661828305151957,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,NA_score_log,82,0.5059730396267206,0.6235079823243924,0.8114940850323838,0.4207115585342186,0.3674972213630926,0.03334481000774525,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGP,130,-0.039983413158172,0.195578122160688,-0.20443704396201032,0.8385065126949158,0.3747029181010051,0.039722338512257704,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGN,130,-0.016188062736763376,0.1488766600054405,-0.10873472535031216,0.9136722235395207,0.20124747212637417,-0.2266556678059255,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGN_log,130,-0.00976394314918655,0.06409034805867204,-0.1523465458519287,0.8792789500977705,0.257807732778469,-0.1397952675187797,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,PA_score,82,0.3717717469914071,0.234284172419262,1.5868410706213005,0.11849747577861737,0.3753134839440013,0.045290418857813264,sensitivity
