fc_var,condition,seed_target,affect_var,n,beta_fc,se_fc,t_fc,p_fc,r_squared,adj_r_squared,tier
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,PA_score,93,0.11039259143584662,0.2567588248299612,0.4299466299121529,0.6687015582157301,0.328137702239797,0.018867755651767126,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score,93,-0.006935298335929072,0.08049194339426671,-0.08616139756942506,0.931611372095064,0.5269888135725729,0.3092535055345509,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score_log,93,-0.3047541676546034,0.5570813743635128,-0.5470550294430448,0.5862735833415624,0.39321693409087555,0.11390409422794534,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGP,148,0.13368331786525633,0.18179408750221676,0.735355696667672,0.46381039914474353,0.3503621905234514,0.06375727457791525,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN,148,-0.256112317694193,0.13311531998402412,-1.923988296200095,0.05714328656979573,0.2277282137343949,-0.11297992726513684,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN_log,148,-0.12115458948763126,0.058507559360966674,-2.070751041590355,0.04090712988611062,0.27637879783052555,-0.04286585018541911,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,PA_score,93,-0.24911506923499266,0.24057521743135418,-1.0354976372662958,0.3043950198885833,0.33744300046952214,0.03245644513009582,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score,93,0.008734992350790498,0.07594276833417025,0.1150207260335045,0.9087945107233013,0.5270323963878765,0.3093171502807085,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score_log,93,-0.010492098220594631,0.5268662321662262,-0.019914159572261933,0.9841747869289799,0.39033836726410986,0.10970047283012874,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGP,148,-0.11782461208946776,0.17665935718367823,-0.6669593616089174,0.506304069930541,0.349753971981724,0.06288072432660219,sensitivity
