fc_var,condition,seed_target,affect_var,n,n_groups,beta_fc,se_fc,z_fc,p_fc,group_var,log_likelihood,converged,degenerate_re,optimizer,tier
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,PA_score,82,7,0.19837639794379147,0.20336943637873095,0.9754484325479418,0.3293378692514146,0.3770153974962116,-85.92023718188256,True,False,lbfgs,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score,82,7,-0.031379915452574354,0.06738355490701838,-0.4656910057042117,0.641436691302514,0.01484326485717871,16.250338331948115,True,False,lbfgs,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score_log,82,7,0.145913130279051,0.5851920270300799,0.24934230737827673,0.8030960079489757,2.1227812944688002e-10,-149.78584261840564,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGP,130,8,0.1713361828920603,0.1787726023924852,0.9584029129693,0.33785962692495497,0.042222521846979784,-123.46737029096602,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN,130,8,-0.3020127675290301,0.12482537250651528,-2.419482205136352,0.015542621177521143,0.004581108006290436,-73.74873663072145,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN_log,130,8,-0.140666467812213,0.05363471613250531,-2.6226757211634073,0.008724226573217697,8.71551215491737e-12,25.77093235121609,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,PA_score,82,7,-0.07252552809662455,0.19675786511461454,-0.36860294278135863,0.7124237017816384,0.3884398795261419,-86.3459152077861,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score,82,7,0.03238181057536519,0.05521531959730907,0.5864642423792712,0.5575635840398354,0.013971716661801074,16.21932110563185,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score_log,82,7,0.3224507894009454,0.4907446548472785,0.6570642924298243,0.5111395775225225,4.4382706286719985e-10,-149.7351366081288,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGP,130,8,0.12271464990254334,0.1659511699082514,0.7394623971038468,0.45962626512430793,0.027682691730230607,-123.73108599795324,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGN,130,8,-0.0768289686265148,0.11463154817181206,-0.6702253424280896,0.5027141510339748,5.976442148457182e-10,-76.68445753913886,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGN_log,130,8,-0.03957924725358808,0.05007436916905144,-0.7904093034096595,0.4292887706907471,3.3909680714489392e-12,22.554306992623935,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,PA_score,82,7,-0.2452371414851326,0.2163561602148744,-1.1334881393789529,0.2570093191927416,0.38831769972148156,-85.67468544930051,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,NA_score,82,7,0.08527412277400338,0.05810958859552539,1.4674707709179986,0.14224803484564408,0.010533418880763723,17.176251356423307,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,NA_score_log,82,7,0.7001883958441962,0.5270858294143866,1.3284143810546631,0.18404125116430814,2.0275388900882619e-10,-148.9853218966619,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGP,130,8,0.0019531356765169583,0.17826240343673477,0.010956520493734535,0.9912581363616131,0.03518962682755454,-123.94437167438673,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGN,130,8,0.01785307511890887,0.1293410292269624,0.138031027166028,0.8902158961120281,4.538885793327493e-10,-76.84651247329714,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGN_log,130,8,0.006053294456410508,0.05428218944014782,0.11151529661648857,0.9112077363088298,3.4246513113738795e-12,22.30577062836437,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,PA_score,82,7,0.16248467632203376,0.15878890326783743,1.0232747564731426,0.30617795570941553,0.37434047427184525,-86.12588464166902,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,NA_score,82,7,-0.05831873343828236,0.055646009309256464,-1.0480308320794767,0.2946244018509847,0.017279272505377214,16.471427323484676,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,NA_score_log,82,7,-0.2015477826423081,0.5003223154793063,-0.40283588480203275,0.6870689604281084,4.801845472946021e-09,-149.8851187331142,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,C5SPGP,130,8,0.022781329692869716,0.163443803701831,0.1393832569782179,0.8891473022040284,0.03651094055506227,-124.02089383817162,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,C5SPGN,130,8,-0.168291906541237,0.11024376109042124,-1.5265435873800155,0.12687454395466657,1.708753391348343e-11,-75.75696913118844,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,C5SPGN_log,130,8,-0.07538745779630177,0.04851428984871896,-1.5539227314546047,0.12020284880119814,3.355321871385655e-12,23.423388970774738,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,PA_score,82,7,0.2832477815177777,0.17201532060907393,1.6466427555106748,0.09963149684895045,0.3659587063020777,-85.16416355104309,True,False,lbfgs,sensitivity
