fc_var,condition,seed_target,affect_var,n,n_groups,beta_fc,se_fc,z_fc,p_fc,group_var,log_likelihood,converged,degenerate_re,optimizer,tier
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,PA_score,93,8,0.19822428639159312,0.19213835188627928,1.0316747512694182,0.3022245092788669,0.3715724052953285,-96.13726110568982,True,False,lbfgs,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score,93,8,-0.018114703759854422,0.07309789985152187,-0.24781428463265595,0.8042781020741843,0.029318207237328982,4.329430796212847,True,False,lbfgs,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score_log,93,8,0.08229744256788628,0.5176290852525555,0.15898921624107093,0.8736773699564935,1.9722324509187588e-10,-166.04675129628188,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGP,148,8,0.23751444734494706,0.16631548188435621,1.428095837223966,0.1532642755282576,0.035495988484884326,-141.5490608340957,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN,148,8,-0.24519475997914178,0.1133253401522047,-2.163635773339186,0.03049231377130135,0.018262978817503987,-85.43248404723477,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN_log,148,8,-0.11732944214696991,0.050468074489717955,-2.3248250172665865,0.020081318717844354,0.0024055065259825682,26.184455595506762,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,PA_score,93,8,0.021223021476242613,0.1842406659384867,0.11519184088993926,0.9082930656541155,0.37675192873220315,-96.71925186287436,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score,93,8,0.06502169933081253,0.05909877673887922,1.1002207307623815,0.27123596021398555,0.029850072885800227,4.815009019505908,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score_log,93,8,0.20012579687379148,0.4443237423921007,0.45040536388259717,0.6524181780224398,1.9857375174461438e-10,-166.06940681981766,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGP,148,8,0.0927920047681597,0.1571509084761919,0.5904643229104688,0.554879397817015,0.030245642113033638,-142.4590066841996,True,False,powell,sensitivity
