fc_var,affect_var,n,r,p
conn_l_amyg_ant_vmPFC_neg_vs_neu,PA_score,82,0.13430900363360404,0.2289732528267006
conn_l_amyg_ant_vmPFC_neg_vs_neu,NA_score,82,-0.10870696100941857,0.33097294129650434
conn_l_amyg_ant_vmPFC_neg_vs_neu,NA_score_log,82,-0.1407428632671746,0.20723553669170258
conn_l_amyg_ant_vmPFC_neg_vs_neu,C5SPGP,130,-0.00723543641204151,0.9348845117425448
conn_l_amyg_ant_vmPFC_neg_vs_neu,C5SPGN,130,-0.09457616409018195,0.28447502167067157
conn_l_amyg_ant_vmPFC_neg_vs_neu,C5SPGN_log,130,-0.09140706926982214,0.30099487788923324
conn_l_amyg_post_vmPFC_neg_vs_neu,PA_score,82,0.061054288708393946,0.5858283339943191
conn_l_amyg_post_vmPFC_neg_vs_neu,NA_score,82,-0.12080239199972675,0.27965998982010387
conn_l_amyg_post_vmPFC_neg_vs_neu,NA_score_log,82,-0.1873730653485096,0.09186284074473876
conn_l_amyg_post_vmPFC_neg_vs_neu,C5SPGP,130,0.051955729156460115,0.5571622112022687
conn_l_amyg_post_vmPFC_neg_vs_neu,C5SPGN,130,-0.18539958466287149,0.03470285769141964
conn_l_amyg_post_vmPFC_neg_vs_neu,C5SPGN_log,130,-0.17509115857164453,0.04631788126399307
conn_l_amyg_safety_vs_threat,PA_score,82,0.07461880979477487,0.5052458960973634
conn_l_amyg_safety_vs_threat,NA_score,82,0.019035962526852454,0.865209114981195
conn_l_amyg_safety_vs_threat,NA_score_log,82,0.059106178145759164,0.5978645199065001
conn_l_amyg_safety_vs_threat,C5SPGP,130,-0.06532084585079052,0.460290764076586
conn_l_amyg_safety_vs_threat,C5SPGN,130,0.10151791905921528,0.25044257416657884
conn_l_amyg_safety_vs_threat,C5SPGN_log,130,0.09358995565608189,0.28954962699712805
conn_r_amyg_ant_vmPFC_neg_vs_neu,PA_score,82,0.06773614241033347,0.5454079726183605
conn_r_amyg_ant_vmPFC_neg_vs_neu,NA_score,82,-0.06134315722347875,0.5840530277966326
conn_r_amyg_ant_vmPFC_neg_vs_neu,NA_score_log,82,-0.04062970992486762,0.7170388407413937
conn_r_amyg_ant_vmPFC_neg_vs_neu,C5SPGP,130,-0.08929218532296326,0.3123638524399908
conn_r_amyg_ant_vmPFC_neg_vs_neu,C5SPGN,130,-0.1033194539707322,0.24208990877851053
conn_r_amyg_ant_vmPFC_neg_vs_neu,C5SPGN_log,130,-0.08856520745841437,0.31633560388543497
conn_r_amyg_post_vmPFC_neg_vs_neu,PA_score,82,-0.10242577275063128,0.35983626222904286
conn_r_amyg_post_vmPFC_neg_vs_neu,NA_score,82,0.037023458546586493,0.7412276815981531
conn_r_amyg_post_vmPFC_neg_vs_neu,NA_score_log,82,-0.00934911662168323,0.9335637318296418
conn_r_amyg_post_vmPFC_neg_vs_neu,C5SPGP,130,-0.01653511693628188,0.8518791958939724
conn_r_amyg_post_vmPFC_neg_vs_neu,C5SPGN,130,-0.1694135245125994,0.05399108983861342
conn_r_amyg_post_vmPFC_neg_vs_neu,C5SPGN_log,130,-0.14949281439681023,0.0895887212540225
conn_r_amyg_safety_vs_threat,PA_score,82,0.1763309875924079,0.11303995162644974
conn_r_amyg_safety_vs_threat,NA_score,82,-0.10420536610975806,0.3515055230257067
conn_r_amyg_safety_vs_threat,NA_score_log,82,-0.03530089560781242,0.7528725758064793
conn_r_amyg_safety_vs_threat,C5SPGP,130,-0.0723391510772376,0.4134145727730634
conn_r_amyg_safety_vs_threat,C5SPGN,130,0.07533639381325344,0.39427933627164813
conn_r_amyg_safety_vs_threat,C5SPGN_log,130,0.06909908424419263,0.43469905031185113
