fc_var,affect_var,n,r,p
conn_l_amyg_ant_vmPFC_neg_vs_neu,PA_score,93,0.08133032787816531,0.438340452264294
conn_l_amyg_ant_vmPFC_neg_vs_neu,NA_score,93,0.07093520662109325,0.4992474412056764
conn_l_amyg_ant_vmPFC_neg_vs_neu,NA_score_log,93,-0.042876799844155086,0.6832117711209287
conn_l_amyg_ant_vmPFC_neg_vs_neu,C5SPGP,148,0.023569977661906653,0.7761426323447794
conn_l_amyg_ant_vmPFC_neg_vs_neu,C5SPGN,148,-0.0029237453278691226,0.9718665308316796
conn_l_amyg_ant_vmPFC_neg_vs_neu,C5SPGN_log,148,0.0030443272854196613,0.9707067479470077
conn_l_amyg_post_vmPFC_neg_vs_neu,PA_score,93,0.10828043777988407,0.3015396554601873
conn_l_amyg_post_vmPFC_neg_vs_neu,NA_score,93,-0.24837120823712197,0.01637020852153251
conn_l_amyg_post_vmPFC_neg_vs_neu,NA_score_log,93,-0.2086755816554614,0.0447140950857173
conn_l_amyg_post_vmPFC_neg_vs_neu,C5SPGP,148,0.05480382258408627,0.5082521910590115
conn_l_amyg_post_vmPFC_neg_vs_neu,C5SPGN,148,-0.14047233528151637,0.08858977284510178
conn_l_amyg_post_vmPFC_neg_vs_neu,C5SPGN_log,148,-0.12383186415569392,0.1337481569496888
conn_l_amyg_safety_vs_threat,PA_score,93,-0.032946518510233655,0.753891168051422
conn_l_amyg_safety_vs_threat,NA_score,93,0.3336759574803345,0.0010810243500841948
conn_l_amyg_safety_vs_threat,NA_score_log,93,0.17762692686797688,0.08849726053539735
conn_l_amyg_safety_vs_threat,C5SPGP,148,-0.03368758701225995,0.6843989939952231
conn_l_amyg_safety_vs_threat,C5SPGN,148,0.14792023475148003,0.0727888524120443
conn_l_amyg_safety_vs_threat,C5SPGN_log,148,0.13641838654166513,0.09827633781624254
conn_r_amyg_ant_vmPFC_neg_vs_neu,PA_score,93,0.046588320995112356,0.657443164402696
conn_r_amyg_ant_vmPFC_neg_vs_neu,NA_score,93,0.021669989981932244,0.8366537138480236
conn_r_amyg_ant_vmPFC_neg_vs_neu,NA_score_log,93,-0.017644738598153173,0.8666844629434882
conn_r_amyg_ant_vmPFC_neg_vs_neu,C5SPGP,148,-0.0868709106298568,0.2937845081243097
conn_r_amyg_ant_vmPFC_neg_vs_neu,C5SPGN,148,-0.0653344640324918,0.43015165748246537
conn_r_amyg_ant_vmPFC_neg_vs_neu,C5SPGN_log,148,-0.05006218682385036,0.5456788428879895
conn_r_amyg_post_vmPFC_neg_vs_neu,PA_score,93,-0.07719439530636815,0.46205577055913344
conn_r_amyg_post_vmPFC_neg_vs_neu,NA_score,93,-0.08801203801236757,0.40152107492141725
conn_r_amyg_post_vmPFC_neg_vs_neu,NA_score_log,93,-0.03160239244265691,0.7636312738830989
conn_r_amyg_post_vmPFC_neg_vs_neu,C5SPGP,148,-0.048219730124001534,0.5605780468253653
conn_r_amyg_post_vmPFC_neg_vs_neu,C5SPGN,148,-0.13281050497008212,0.10758427594073544
conn_r_amyg_post_vmPFC_neg_vs_neu,C5SPGN_log,148,-0.10903181478806723,0.18712938992553277
conn_r_amyg_safety_vs_threat,PA_score,93,0.12882564700798546,0.21844156974075513
conn_r_amyg_safety_vs_threat,NA_score,93,0.11294826847971914,0.2810534398132416
conn_r_amyg_safety_vs_threat,NA_score_log,93,0.013122576726309669,0.9006475616994124
conn_r_amyg_safety_vs_threat,C5SPGP,148,-0.0362339887714837,0.6619579312033018
conn_r_amyg_safety_vs_threat,C5SPGN,148,0.0792541765884304,0.33831459818799287
conn_r_amyg_safety_vs_threat,C5SPGN_log,148,0.06874421662900396,0.40642504689149583
