fc_var,condition,seed_target,persistence_var,n,r,p,tier
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,0.05134013736345251,0.561849341524438,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,0.024610592455717308,0.7810615626859367,secondary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.05124692225822633,0.5625607219465709,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,0.01236268269995059,0.8889758698384558,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,-0.012643412327267654,0.8864714485259135,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,-0.0012241121739209673,0.9889718065761111,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_concat_z_L,128,0.0077492054944421004,0.9308197531062524,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_concat_z_R,128,-0.07031997530027441,0.43025678352387614,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,-0.062214139161476764,0.4853998345619619,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,-0.05081044443173874,0.5658974508819764,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,0.18329961313780838,0.03684542967867977,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.05855568606422971,0.5081266336677388,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,0.1634282457249781,0.06318556421224604,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,-0.06432839998178325,0.4671485660432994,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,0.07239137962692774,0.41307654806710187,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_concat_z_L,128,-0.019739643582911123,0.8249683876043371,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_concat_z_R,128,0.0882262906556755,0.32202386474414785,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,0.006398958671490512,0.9428514048000216,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,0.08337136698087047,0.34565940849497573,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,-0.03437783851234508,0.6977964176076469,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.02883067116107659,0.7447171091107145,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,0.08425213285459332,0.3405697672931817,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,-0.0376427222999296,0.6706919064359126,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,0.034506447005735574,0.6967212147399939,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_concat_z_L,128,0.015835780658608987,0.8591824334606945,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_concat_z_R,128,0.05387074807069463,0.5458849427322015,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,0.030325391126699453,0.7340032736686684,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,0.09555049913689027,0.2795202563320858,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,-0.1550754785002109,0.07811503736033877,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,-0.010330437297452436,0.9071369201075096,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,-0.1469216471100533,0.09530575738805623,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,0.05080246432571032,0.565958543466165,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,-0.0711349911819309,0.4212527154707242,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_concat_z_L,128,0.026079346314931223,0.7701265148902634,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_concat_z_R,128,-0.14887152088544842,0.09351788778888136,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,-0.06250973193546552,0.4833247457290433,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,-0.0294778560249248,0.7391904999468812,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,0.05319976704020143,0.5477479266246351,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.019834531835552484,0.822767959803841,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,-0.0652209482604027,0.4609785272735266,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,0.02275643857809459,0.7971859869581983,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,-0.03234899284452804,0.7148362479171736,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_concat_z_L,128,-0.007371804774092952,0.9341812047869439,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_concat_z_R,128,-0.11233524090441649,0.20678303078400403,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,-0.08365999522450988,0.3477990505110049,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,130,0.08621405371852867,0.32940405771584796,primary
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,130,0.11078514241968976,0.20954709673981547,secondary
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.11919813377469102,0.1767714399013019,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,130,0.1469331063193647,0.09527965184704963,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,130,0.009572993855164885,0.9139185785042662,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,0.12094962278954588,0.17045079454348216,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_concat_z_L,128,0.028528449289609518,0.7492250192984703,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_concat_z_R,128,-0.02605231713175004,0.7703581454772517,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_concat_z_bilateral,128,-0.015687937319891487,0.8604837264002938,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,130,0.025496212629216496,0.7733921200598681,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,130,0.23769462201211433,0.006467195004071768,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.14627630381361215,0.09678509052044859,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,130,0.1977783102751452,0.024097629311006185,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,130,0.06508351497171556,0.4619256387714833,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,0.16210990707400286,0.06537369726483575,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,neg_persist_concat_z_L,128,0.11893425567531352,0.18117731070374532,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,neg_persist_concat_z_R,128,0.08028977090344373,0.3676310281668773,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,neg_persist_concat_z_bilateral,128,0.07860361833588378,0.37780915618610184,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,130,0.08436146278501944,0.33994131452769977,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,130,0.11035411066141992,0.21133623719426514,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.08679101813575121,0.3261655458153995,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,130,0.10043557892649047,0.2555553037382492,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,130,0.08452701200859974,0.33899110016828604,sensitivity
