fc_var,condition,seed_target,persistence_var,n,beta_fc,se_fc,t_fc,p_fc,r_squared,adj_r_squared,tier
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,-0.002132834979216583,0.043511337077404434,-0.04901791400761551,0.9610213838105364,0.37213210862812496,0.03577430967890616,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,0.013824854371558573,0.037696743346897675,0.3667386926328827,0.7147361439178648,0.3612652767778102,0.019085960765922727,secondary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.011085938364268376,0.03178008671413378,0.3488328544848825,0.728087655854126,0.3618295485368408,0.019952520967291165,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,0.019198005062279765,0.04606579696532996,0.416751827320573,0.6779230050668613,0.33017218817769034,-0.028664139584261283,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,-0.003160047404313468,0.04293283813170103,-0.0736044375780536,0.9415001312279786,0.3524228285965144,0.005506486773218522,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,0.010422935244005994,0.03448663743891586,0.302231125387841,0.7632229523343548,0.2592761473126005,-0.13754020234136366,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_concat_z_L,128,-0.07241870384958775,0.10579352192314107,-0.6845287171949894,0.495548391518828,0.3514228418732164,0.007598806239740741,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_concat_z_R,128,0.018448460613831888,0.09692877851544707,0.19033006395403865,0.8495152430711314,0.29916697289745375,-0.07235896918100448,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,-0.0520890127520109,0.08744020495572531,-0.5957100944398035,0.5529898982679297,0.3268240186855659,-0.03004035695100149,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,-0.03731327610337335,0.04178313533881426,-0.8930224072656259,0.37439648083131727,0.378019183137016,0.04481517410327451,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,0.06849070281744764,0.03562413539323737,1.9225927046765443,0.05792035995943994,0.38720805325491414,0.0589266532129038,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.013461841024735261,0.03064894356555922,0.4392269180808757,0.6616249457306156,0.3623695067944983,0.020781742577265172,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,0.09962511935619237,0.04314261102536225,2.3092046815994918,0.02338756937783148,0.36885321888214206,0.03073887185471813,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,-0.04699065146699424,0.04110507874525228,-1.1431835895077018,0.2562100408596182,0.36230233816770385,0.02067859075754519,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,0.0283327413761593,0.03314748713228516,0.8547477901745267,0.3951220624911992,0.2648645398777828,-0.1289580280448337,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_concat_z_L,128,-0.10752076401951312,0.10170176744212371,-1.0572162777869212,0.2934802703541239,0.3564278374296541,0.015257052452603337,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_concat_z_R,128,0.17943961524905366,0.0914652826747406,1.9618330584201908,0.05313368616655914,0.329932748587511,-0.025283625655254216,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,0.016884817008773534,0.08454441226900627,0.1997153514421373,0.8421916961087361,0.3242705486419044,-0.0339474737647969,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,-0.014180555962523043,0.043025085146626715,-0.32958809759926383,0.7425316760669218,0.37292507860712176,0.03699208500379403,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,0.03981389879501635,0.03707525547678227,1.0738671462412204,0.2859574031722678,0.368906503472892,0.030820701761941183,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.009381548080043075,0.03145091255227306,0.29829176067468477,0.7662171034297758,0.36158133230747824,0.019571331757912924,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,0.030900828917438165,0.04550214743755385,0.6791070456585766,0.49893699260016244,0.33245226948272133,-0.025162586151535216,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,0.0028375151517412156,0.042480126383088,0.06679629731212086,0.946902601304754,0.352415459961375,0.00549517065496874,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,0.02080344748110892,0.034065804421663334,0.6106841694857927,0.5430575573353668,0.26174828534650774,-0.1337437046464347,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_concat_z_L,128,-0.08153292979149164,0.10459407425964219,-0.7795176769679701,0.4378919279274609,0.3525016485239202,0.009249510392022486,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_concat_z_R,128,0.08238265357139936,0.09550341813849925,0.8626147124067106,0.3908349611671269,0.3050910282482149,-0.06329445075273132,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,-0.020557299407435288,0.08667622558824217,-0.23717344944268007,0.8131066580323785,0.32440369127955193,-0.033743749487914476,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,0.031968804922365174,0.03978270562869783,0.8035854881449795,0.42390457893007427,0.37690419525080676,0.04310287127802459,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,-0.05033291041717383,0.03418752227389848,-1.4722596745655958,0.14468774825457248,0.3763356886546956,0.042229807576853906,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,-0.0028435087468311315,0.0291872710463831,-0.09742290542724447,0.9226226381419191,0.3609772835796172,0.018643685497269247,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,-0.07398085120489514,0.041546042001247535,-1.7806955281726635,0.0785775934448277,0.3532028642275097,0.006704398635104081,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,0.039860744718069566,0.03916433465104238,1.0177817413019334,0.31170420991322373,0.36027014796833146,0.01755772723708038,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,-0.01685892584482685,0.031615614783733724,-0.5332468136441487,0.5952708396987907,0.26097238159902003,-0.13493527111579073,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_concat_z_L,128,0.03627391598589174,0.09732623737753389,0.3727043905456162,0.7103185277905173,0.34885103662286276,0.0036636343506454283,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_concat_z_R,128,-0.14686758270311728,0.08754219868563906,-1.6776775647423887,0.09717211107406146,0.321857493529931,-0.03763973881564775,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,-0.05919384080977646,0.08019148548459297,-0.7381561826928528,0.46250157066386133,0.32835500610217205,-0.027697761747278893,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,0.010133053711294141,0.03939524055320057,0.2572151754628874,0.7976416898714715,0.37260829196546896,0.036505591232684376,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,-0.02202100460866576,0.03408639527558492,-0.6460350069471487,0.5200177506662012,0.3634055359797399,0.022372787397457627,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.0012332337059566545,0.028805190647687644,0.04281289858623634,0.9659522869483231,0.36091902516337215,0.01855421721517858,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,-0.010144188556295664,0.04175232283775824,-0.24296105861496842,0.8086278657409464,0.3292585789601793,-0.03006718231115335,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,-0.0049701542182345945,0.03888368796968427,-0.12782106013476868,0.8985960964815425,0.35250700196090656,0.005635753011392186,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,-0.008881802962957059,0.031238059656827622,-0.28432633334240354,0.7768600342696139,0.2591836265670864,-0.13768228777197455,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_concat_z_L,128,0.008907999164957853,0.09609715923264839,0.09269784076958872,0.926366997144795,0.3478287940758751,0.002099480092001671,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_concat_z_R,128,-0.053905205005131004,0.08762157391213718,-0.6152047104196579,0.5401026815344457,0.30204374668186684,-0.06795715869160124,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,-0.02551283316852088,0.07932656536072136,-0.32161777145533127,0.7485508346942424,0.32478729985280186,-0.03315678215294171,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,130,0.0328781776821406,0.048009199363215745,0.6848307848960212,0.4953360559418565,0.37560032992019887,0.04110050666316245,primary
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,130,0.04045681105740097,0.04150821709163853,0.9746699302473929,0.332522532911363,0.3673968623116156,0.0285023242642668,secondary
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.03657266312533593,0.03496098018160626,1.0460994781999164,0.29851602854948733,0.3691239240413846,0.031154597634983405,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,130,0.07321533768715174,0.0503920913895918,1.4529132581759436,0.14997340304647805,0.3452415895638704,-0.0055218445983420406,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,130,0.01178008311932098,0.04748641836546087,0.24807268109083574,0.8046836062486524,0.352855173901349,0.006170445634214539,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,0.050522425427207945,0.037777806417011464,1.3373573062849287,0.18471611906514832,0.27393011635878883,-0.11503589273471726,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_concat_z_L,128,0.03968808686592257,0.11746163137325506,0.3378812843132296,0.736305751119148,0.3486571761491727,0.003367004469216117,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_concat_z_R,128,0.11149329400473304,0.1067144609347852,1.044781494729831,0.2991573009742453,0.30796237451081243,-0.058900945025624374,sensitivity
