fc_var,condition,seed_target,affect_var,n,r,p
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,PA_score,82,0.1351648525926832,0.2259932517675535
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score,82,-0.04500575804852337,0.6880583502246049
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score_log,82,-0.04849947304738836,0.6652371538207057
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGP,130,0.11050622286540132,0.2107036029220639
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN,130,-0.24293763510697614,0.00535256599327213
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN_log,130,-0.25918040170063605,0.002904911645025132
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,PA_score,82,-0.025226593992448615,0.8220062181693356
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score,82,0.06352206751840117,0.5707419234529044
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score_log,82,0.09026673470076976,0.4199547839182057
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGP,130,0.08431962429503036,0.3401817246486468
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGN,130,-0.06258562485244812,0.4793254739402812
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGN_log,130,-0.0698782612125119,0.42952420774054006
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,PA_score,82,-0.09467390659321945,0.3975248877774568
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,NA_score,82,0.17818897128728142,0.10923418337994625
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,NA_score_log,82,0.17019193861873122,0.126346324331948
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGP,130,-0.023971817650437446,0.7866064731041068
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGN,130,0.023084875717046517,0.7943233186372058
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGN_log,130,0.023725935565621636,0.7887437329341407
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,PA_score,82,0.1406491047017164,0.20754137528564207
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,NA_score,82,-0.1001323972506413,0.3707498829955558
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,NA_score_log,82,-0.12899810424927266,0.24807900655290166
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,C5SPGP,130,0.01830177767085099,0.8362642452651903
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,C5SPGN,130,-0.15901062942094524,0.07076152145061307
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,C5SPGN_log,130,-0.16663532174754017,0.05811154769076325
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,PA_score,82,0.19504943863610186,0.07908144682239678
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,NA_score,82,-0.1918655911330948,0.08419877798251343
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,NA_score_log,82,-0.18786912609612116,0.09099049528790334
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,C5SPGP,130,0.12078543268597888,0.17103610494145313
