fc_var,persistence_var,n,r,p
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_L,148,0.04360870490827322,0.5986971616055509
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_R,148,-0.15272306719864434,0.0638696187537219
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_bilateral,148,-0.03213393437653794,0.6982293972386628
conn_l_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_L,148,-0.09779149684866552,0.23703350569353762
conn_l_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_R,148,-0.03232266693025619,0.6965439136681636
conn_l_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_bilateral,148,-0.08536511165797989,0.3022640782549451
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_L,146,-0.007701118673529676,0.926495843249277
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_R,146,-0.11083587136433068,0.18291580055847406
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_bilateral,146,-0.04072599353518691,0.6255025259949888
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_L,148,0.027414233592308625,0.7408386789071703
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_R,148,-0.04863681321824261,0.5571882520187872
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_bilateral,148,0.014452445184954081,0.8615983404854674
conn_l_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_L,148,0.06985783623146777,0.3988467358153286
conn_l_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_R,148,-0.04615435959109652,0.5775082056847143
conn_l_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_bilateral,148,0.045372125997602486,0.5839819154108193
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_concat_z_L,146,-0.02748218371327705,0.7419467930678676
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_concat_z_R,146,0.03971438778751314,0.6341215021779514
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_concat_z_bilateral,146,0.03378599647507229,0.6855919365070177
conn_l_amyg_safety_vs_threat,neg_persist_crossrun_mean_z_L,148,0.017226392301672208,0.8353799727702778
conn_l_amyg_safety_vs_threat,neg_persist_crossrun_mean_z_R,148,-0.11126778967018712,0.17819344156102424
conn_l_amyg_safety_vs_threat,neg_persist_crossrun_mean_z_bilateral,148,-0.04995656995282685,0.5465276437865288
conn_l_amyg_safety_vs_threat,pos_persist_crossrun_mean_z_L,148,-0.17985438851151075,0.02871773461817142
conn_l_amyg_safety_vs_threat,pos_persist_crossrun_mean_z_R,148,0.01501252049654436,0.8562915629323359
conn_l_amyg_safety_vs_threat,pos_persist_crossrun_mean_z_bilateral,148,-0.1402158597134875,0.08917913207572695
conn_l_amyg_safety_vs_threat,neg_persist_concat_z_L,146,0.02116580047113307,0.7998220135214973
conn_l_amyg_safety_vs_threat,neg_persist_concat_z_R,146,-0.16126829171059504,0.05182182125249256
conn_l_amyg_safety_vs_threat,neg_persist_concat_z_bilateral,146,-0.07980174563204072,0.33832100451312774
conn_r_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_L,148,0.09722000982707889,0.2397983415234653
conn_r_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_R,148,-0.0038787327985237534,0.9626830694548303
conn_r_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_bilateral,148,0.0859619279063709,0.29888415691408937
conn_r_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_L,148,-0.21104016395043468,0.010032370546440994
conn_r_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_R,148,0.01629791422032617,0.8441369738482234
conn_r_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_bilateral,148,-0.15850516346202437,0.05433820772976816
conn_r_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_L,146,-0.03362605951863311,0.6870020847205901
conn_r_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_R,146,-0.07937406735244575,0.3409244453403516
conn_r_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_bilateral,146,-0.07115526649846682,0.39340170488138676
conn_r_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_L,148,0.017235626454898095,0.8352929797374944
conn_r_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_R,148,-0.12804229861399186,0.12092924571036749
conn_r_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_bilateral,148,-0.04004406487461641,0.6289392587184757
conn_r_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_L,148,-0.13315622458769616,0.1066634729230942
conn_r_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_R,148,-0.16073520433753716,0.05099085850461123
conn_r_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_bilateral,148,-0.19188092479866534,0.019476027254392972
conn_r_amyg_post_vmPFC_neg_vs_neu,neg_persist_concat_z_L,146,-0.014049000794790321,0.8663442150670714
conn_r_amyg_post_vmPFC_neg_vs_neu,neg_persist_concat_z_R,146,-0.08137941304199561,0.3288267424702952
conn_r_amyg_post_vmPFC_neg_vs_neu,neg_persist_concat_z_bilateral,146,-0.04023741872023242,0.6296590013144824
conn_r_amyg_safety_vs_threat,neg_persist_crossrun_mean_z_L,148,0.08106838154448066,0.32733770265281564
conn_r_amyg_safety_vs_threat,neg_persist_crossrun_mean_z_R,148,0.13725902529581757,0.09620178876885413
conn_r_amyg_safety_vs_threat,neg_persist_crossrun_mean_z_bilateral,148,0.13266788876190466,0.1079659357384575
conn_r_amyg_safety_vs_threat,pos_persist_crossrun_mean_z_L,148,-0.07035967792393523,0.3954593485739922
conn_r_amyg_safety_vs_threat,pos_persist_crossrun_mean_z_R,148,0.19409537935517154,0.018089736836156008
conn_r_amyg_safety_vs_threat,pos_persist_crossrun_mean_z_bilateral,148,0.04850504981325895,0.5582580756454599
conn_r_amyg_safety_vs_threat,neg_persist_concat_z_L,146,-0.019175486196838787,0.8183032702618113
conn_r_amyg_safety_vs_threat,neg_persist_concat_z_R,146,0.00796421726644572,0.9239920764379441
conn_r_amyg_safety_vs_threat,neg_persist_concat_z_bilateral,146,-0.028975970000651774,0.7284550159027766
