persistence_var,affect_var,moderator,n,n_groups,beta_interaction,se_interaction,z_interaction,p_interaction,beta_persistence,p_persistence,p_persistence_one_tailed,beta_moderator,p_moderator,group_var,log_likelihood,converged,optimizer,tier
neg_persist_crossrun_mean_z_L,PA_score,C5SER,94,10,-0.09605074184215959,0.48434218110294464,-0.19831174237897825,0.8428011650470615,-1.1452944297526841,0.08868406613305017,0.04434203306652509,-6.096859066950076e-05,0.9967840309498754,0.3489709845038251,-97.72386614365061,True,lbfgs,primary
neg_persist_crossrun_mean_z_L,NA_score,C5SER,94,10,-0.023782969221782056,0.1518048375680514,-0.1566680588233598,0.8755064615328936,0.26134860603664034,0.2469798718130901,0.12348993590654506,0.0016619316911916059,0.7250251834775279,0.0263644579335868,1.358559248313128,True,lbfgs,primary
neg_persist_crossrun_mean_z_L,NA_score_log,C5SER,94,10,-0.633977813398706,1.1174176315272757,-0.5673597726681574,0.5704697747089524,0.6934495630132088,0.6900053060386879,0.34500265301934396,0.033373963355736225,0.33412496167910455,0.010846480582175992,-167.37289363441624,True,powell,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGP,C5SER,152,10,-0.019589416140772937,0.3749594463422526,-0.05224409287955973,0.9583341998465233,-0.7688236396666459,0.08065704600424094,0.04032852300212047,0.0008619692928552482,0.9201256926967164,0.017529776679652102,-149.31038224200063,True,powell,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGN,C5SER,152,10,-0.3614375046309325,0.25033802476306355,-1.4437978608044897,0.14879584392868295,-0.38498531896077015,0.21540280048819738,0.10770140024409869,0.0021800792703689027,0.7052989645925158,3.75518822636245e-08,-92.6605185873384,True,lbfgs,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGN_log,C5SER,152,10,-0.16757138754193415,0.11332664284715442,-1.4786583572226748,0.13923164729076243,-0.17270260401343582,0.2083811569007279,0.10419057845036395,0.0007610434339849581,0.7705389650680848,5.695986036852144e-08,19.90876043549406,True,lbfgs,sensitivity
neg_persist_crossrun_mean_z_R,PA_score,C5SER,94,10,0.33722523259167025,0.4638857868752246,0.7269574583503604,0.4672520168303361,0.2177378040087831,0.7299112791222839,0.36495563956114196,-0.027823247184891355,0.42914009251137164,0.3812380477281437,-99.72108222796032,True,lbfgs,secondary
neg_persist_crossrun_mean_z_R,NA_score,C5SER,94,10,-0.1855260661061936,0.14937447432216647,-1.2420198762076071,0.21422922865990035,-0.2835962905873553,0.19618495490476184,0.09809247745238092,0.014969700172913969,0.18709344643343184,0.028048983373831195,0.9174834306969331,True,lbfgs,secondary
neg_persist_crossrun_mean_z_R,NA_score_log,C5SER,94,10,-2.3979810487030897,1.1648229613521222,-2.058665675614363,0.03952627653133041,-2.4076930097379754,0.17569616981212055,0.08784808490606028,0.19531373354393144,0.02721166326665123,0.015505130783757023,-165.91750863877968,True,powell,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGP,C5SER,152,10,-0.9423246999569096,0.4002331495148494,-2.354439408877469,0.01855066774199914,-1.260382876957526,0.010183800444801275,0.005091900222400638,0.0635050114116442,0.020123795573363634,0.06506158509172295,-147.0107673493482,True,powell,sensitivity
