fc_var,condition,seed_target,affect_var,moderator,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_fc,p_fc,beta_moderator,p_moderator,r_squared,adj_r_squared,tier
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,PA_score,C5SER,82,-0.37292053929677227,0.32429085303642646,-1.149957008669879,0.255525518630361,-0.16608397046536627,0.6942203646822279,0.05318888580132411,0.3051033541438654,0.37300996848157975,0.004192302882509047,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score,C5SER,82,-0.06086667193567877,0.08300641025889076,-0.733276764358803,0.46674700862412943,-0.11138503838785657,0.3051294041575885,0.010424678181931008,0.43130520402739203,0.33753578443405163,-0.052149048251800334,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score_log,C5SER,82,0.4459195487325771,0.7398136480219862,0.6027457724317692,0.5493487921536098,0.1494586230857633,0.876682000595142,-0.05407528030227099,0.6462768086595496,0.3770592000695795,0.010623435404626291,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGP,C5SER,130,-0.6986970488233171,0.1959373509057942,-3.565920665933916,0.0006083515779592523,-0.3426236855519009,0.12394248507042913,0.09803627783100977,0.000973886661871178,0.4598303443885542,0.15022090763565232,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN,C5SER,130,-0.22399706265706887,0.1533932175307059,-1.4602800975357966,0.14803402536842328,-0.4694956310239451,0.007951678834157977,0.029431955511004353,0.19316685533562505,0.2701708800438696,-0.14814581066269294,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN_log,C5SER,130,-0.09283446979262759,0.06571546018193966,-1.4126732055989002,0.1615361546172245,-0.2099797761627472,0.0056819527552982455,0.011858096192894067,0.2207624271967994,0.3283915782044122,-0.05655471233696119,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,PA_score,C5SER,82,0.0039022021130112328,0.13384718229567666,0.029154159587693285,0.9768554306038812,-0.3736585960719586,0.20156804389264307,-0.004823662538191997,0.9539731873251082,0.3746469835777865,0.006792268035307969,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score,C5SER,82,0.042644213294383865,0.03414337771164332,1.2489746519671852,0.2173768549923292,0.022127159708070665,0.7651372405088025,0.027171639258930947,0.20604954274304782,0.3437524893842915,-0.04227545803671351,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score_log,C5SER,82,0.5634500622030172,0.29608336553731907,1.9030115426460814,0.06269110073718617,0.7213468866004945,0.2641446538329047,0.3662485041012864,0.051866547189857344,0.4158213765653124,0.07218689219196672,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGP,C5SER,130,0.0659788595480175,0.09145103287868313,0.7214665321007753,0.4726746810348703,-0.09043918310926412,0.6490895924220403,0.041380239092067,0.49991143034211494,0.3813183217869588,0.026708091591679084,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGN,C5SER,130,0.025324267742648794,0.06971783179280285,0.36323946243639615,0.7173607432108446,-0.05517486031866359,0.7156924421891888,0.013518636246018692,0.7722520158263688,0.20733273558535392,-0.24700094035962628,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGN_log,C5SER,130,0.010133131019571818,0.029963350293085556,0.3381841790205341,0.7360887267033236,-0.03174310170602325,0.6259730750493373,0.00495073624724999,0.8051861383847889,0.2658985616328212,-0.15486689694348854,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,PA_score,C5SER,82,0.5537307100483644,0.31169091407732247,1.7765378618351322,0.08160925372312988,0.251429814870319,0.5409863939530106,0.05800701471144534,0.11596709151144406,0.40247555056461704,0.05099058030850945,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,NA_score,C5SER,82,-0.04519226502568961,0.08184192390897095,-0.5521896708581157,0.5832303280388633,0.011375749473206742,0.9159582775522246,-0.0043106343970575264,0.6527704941457837,0.33563464602914506,-0.05516850336547541,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,NA_score_log,C5SER,82,-0.573429657352397,0.7228828387399905,-0.7932539363528183,0.4313050260382154,-0.043295649075186265,0.9637304351190581,-0.049664674337679085,0.5575627705179185,0.3864441726607607,0.025528980108267096,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGP,C5SER,130,0.09855033288040588,0.19639940049367802,0.5017853039911807,0.6171632053168181,0.0031111057516908236,0.9885528940381083,0.012772581069064416,0.6670762267713333,0.37711413072193933,0.02009418125768503,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGN,C5SER,130,-0.031071589822497886,0.1494535766516668,-0.20790127957202925,0.8358215414938862,-0.03160272490755553,0.8481349742637574,-0.0074445920280104445,0.7417338487566447,0.20484106694123916,-0.2509207605436603,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGN_log,C5SER,130,-0.009655167172727866,0.0642746188307299,-0.15021741627368004,0.8809619736741332,-0.014904268745597485,0.8336716813518359,-0.0029685564194945335,0.7599251950445414,0.26261807199028164,-0.16002766723480089,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,PA_score,C5SER,82,-0.0529394402465575,0.10972747414898482,-0.48246294428210246,0.6315415003347868,0.4003117740415931,0.1205421546298035,0.032906914971822465,0.7015861432247701,0.39301133299288094,0.03595917592986975,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,NA_score,C5SER,82,-0.03457689373327768,0.028349978660219176,-1.2196444359866887,0.22821014680757035,-0.05809401464235443,0.3793227174422379,0.027873335781370037,0.2122210267085638,0.3465637678478093,-0.03781048635936157,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,NA_score_log,C5SER,82,-0.3278160382987694,0.24976058066276302,-1.3125211249464543,0.19522061328033297,-0.6996739241810666,0.23094865605110398,0.27308433306374313,0.1661102900031597,0.3996445332383145,0.04649425867261725,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,C5SPGP,C5SER,130,-0.14280776238280665,0.07448509698555573,-1.9172662473742923,0.058686491006630224,0.13336999112523928,0.47004055819195856,0.11210747046891183,0.06693553302142227,0.4078552783094601,0.06845525490146764,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,C5SPGN,C5SER,130,-0.03158283731883184,0.05706901198880659,-0.55341482563298,0.5814852110727561,-0.24445428744415498,0.08627482890432543,0.02433776387295598,0.6002355106203632,0.23369272515119788,-0.2055321762865303,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,C5SPGN_log,C5SER,130,-0.012183517134441237,0.024535167906322267,-0.49657361958797785,0.6208183802873792,-0.10663059053806578,0.08186335196647952,0.00904405105034244,0.6504958873388497,0.2898461221170545,-0.11719329569390213,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,PA_score,C5SER,82,-0.36313406741085197,0.19242175232721653,-1.8871778425202999,0.06483400430435542,0.011252014339284522,0.9698659461736983,0.09267351942406424,0.08403894821614465,0.4187961361029908,0.07691151028122079,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,NA_score,C5SER,82,-0.004616889856593878,0.050833271614313814,-0.09082417302634989,0.9279880893406187,-0.08545800428709957,0.28022930348821695,0.0022192793072742627,0.8737202687119828,0.34586979038861576,-0.03891268585337482,sensitivity
