fc_var,condition,seed_target,affect_var,moderator,n,n_groups,beta_interaction,se_interaction,z_interaction,p_interaction,beta_fc,p_fc,beta_moderator,p_moderator,group_var,log_likelihood,converged,degenerate_re,optimizer,tier
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,PA_score,C5SER,82,9,-0.5185747232713446,0.21453390045740423,-2.417215750823995,0.015639743933874684,-0.2952040443668711,0.31162498113627957,0.07728572902508049,0.0232947228237511,0.33551226010812374,-87.59176980868847,True,False,lbfgs,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score,C5SER,82,9,-0.009873204954096491,0.0566980108449823,-0.17413670791892089,0.8617580251454218,-0.04502213470230198,0.6236800649459842,0.002277714182034574,0.8005940376877945,0.01577836595067131,8.976142827806015,True,False,lbfgs,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score_log,C5SER,82,9,0.5483983484654795,0.5094608566283934,1.0764288194676508,0.28173551915395034,0.7296385552793373,0.36959581787249607,-0.07099555546337187,0.38067111086216554,2.2048111111274702e-10,-151.77053973650993,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGP,C5SER,130,10,-0.6223656500451465,0.16786773294028529,-3.707476351435195,0.0002093349580054582,-0.17795758995788355,0.357998555735939,0.08786270681110563,0.0003640686687328721,0.12431068585157436,-122.04120919923815,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN,C5SER,130,10,-0.07122232029713607,0.11803286553631706,-0.6034109226571472,0.5462353577390666,-0.34859782967945296,0.0175563463691822,0.00704192205911825,0.682677498225835,0.018833952717748792,-79.07932709753828,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN_log,C5SER,130,10,-0.025760343791469093,0.05152550364068789,-0.4999532653015554,0.6171079851702017,-0.15538074410106822,0.01295310475174509,0.00200025216288951,0.7905276482726302,0.00018337909001183423,18.872923745344906,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,PA_score,C5SER,82,9,0.097622517479872,0.09945204624934026,0.981603910241511,0.3262950203551638,-0.08324342165072986,0.6733931724056148,0.05634855365776839,0.35841860018144556,0.40254998496725064,-91.1534729542916,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score,C5SER,82,9,0.04738537564470498,0.028314229733779523,1.67355340725279,0.0942184019895731,0.06235022297381922,0.26637060857100014,0.030206270552000977,0.08579977591849144,0.018040155409262893,9.612224440878805,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score_log,C5SER,82,9,0.362955131616655,0.2545889446182092,1.425651581850719,0.1539689390526111,0.6260535863782546,0.22567529597933889,0.24173201298748861,0.12684913160740457,0.059447115562222534,-151.81384175489626,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGP,C5SER,130,10,0.1312067829076479,0.07554876987897825,1.7367163372458392,0.08243725261400447,0.1737412494339415,0.30404651450743725,0.08724755316561054,0.08355813580732928,0.05725162853030458,-127.983076880221,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGN,C5SER,130,10,-0.013963873346884205,0.051290693217278464,-0.2722496513691133,0.7854300668142611,-0.09791810879796078,0.40991114284307995,-0.013027013931468627,0.7035011551427901,6.692494830998519e-10,-82.82629561634229,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGN_log,C5SER,130,10,-0.00871694051590963,0.022673037734990752,-0.3844628416269509,0.7006354316385959,-0.051416957072190024,0.32081058060609824,-0.007803423997275364,0.6058776143054896,4.0543790770150304e-10,14.98416120618009,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,PA_score,C5SER,82,9,0.4989826416324387,0.22950180644831703,2.1741991897776534,0.029690179206813605,0.3063910673330036,0.35391860076815285,0.05309878918412435,0.04784294495744833,0.402410187290317,-87.97032997376999,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,NA_score,C5SER,82,9,-0.021022875379374698,0.07295405737821012,-0.28816595176314075,0.7732197103655691,0.06454256143072416,0.48884442396696925,-0.001711742207664915,0.8409244650582703,0.010091119974336017,10.103450452773757,True,False,powell,sensitivity
