fc_var,condition,seed_target,affect_var,moderator,n,n_groups,beta_interaction,se_interaction,z_interaction,p_interaction,beta_fc,p_fc,beta_moderator,p_moderator,group_var,log_likelihood,converged,degenerate_re,optimizer,tier
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,PA_score,C5SER,93,10,-0.5022416502689052,0.2136905683238785,-2.3503220296914855,0.018757175182988695,-0.2053144369549958,0.43507982662171985,0.06873734145125858,0.028153447359701468,0.32916438331169845,-97.99731566503843,True,False,lbfgs,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score,C5SER,93,10,-0.012045408737461604,0.06615779708590025,-0.18207088609407096,0.8555270963542283,-0.03128763602403055,0.7333744147889536,0.0028111404358294547,0.7722369969437399,0.03040088367417227,-2.546332298113697,True,False,lbfgs,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score_log,C5SER,93,10,0.39001606474018,0.4774362300015018,0.8168966664698931,0.41398748299115984,0.41178580318487906,0.5364398476412113,-0.03987381078579633,0.5692079746024422,1.988495388424112e-10,-168.24964120594515,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGP,C5SER,148,10,-0.6817372418598645,0.15025251369008613,-4.537276782377361,5.6985295344702536e-06,-0.08542529940720366,0.6128790427052444,0.09253301487577949,1.3622636545688134e-05,0.14584441123114197,-137.71468676444158,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN,C5SER,148,10,-0.07975159028451548,0.10803149400366277,-0.7382253760353581,0.4603775049016392,-0.28343309351986334,0.024215573027968038,0.007715214984566657,0.6114457618800493,0.01921372597964204,-90.7351434192554,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN_log,C5SER,148,10,-0.033863323972554385,0.048801842128598914,-0.6938943797105102,0.4877484484749366,-0.13327301416585743,0.01745450701402838,0.002925530604743587,0.6697376281912357,0.002456216576724313,19.35881116968298,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,PA_score,C5SER,93,10,0.09311622423375404,0.0974983601889269,0.9550542599210756,0.33955025821494966,0.01543640910383941,0.9327041509850482,0.052954383231243525,0.3675081208110197,0.3894779699694457,-101.61547837121864,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score,C5SER,93,10,0.057957942641140736,0.030144293259843837,1.92268374453311,0.05451977953949516,0.08132672216111414,0.14433544657278888,0.03627125234380883,0.04624761261603619,0.03278971902676792,-1.0147237868978607,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score_log,C5SER,93,10,0.41177031748464354,0.23469159359500258,1.7545166879526937,0.07934201298066701,0.4814108928966017,0.2941342663605574,0.26630428864758393,0.06153610082958821,0.14903771368824353,-167.6632799562341,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGP,C5SER,148,10,0.1853834827703203,0.07252171050446674,2.5562480735875943,0.010580765649651491,0.15162180364200706,0.33335407703477127,0.12204065584551174,0.010712494817259917,0.07839045847551511,-144.98386139059414,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGN,C5SER,148,10,-0.028292374338344597,0.04801317351477122,-0.5892627432685837,0.5556850333538221,-0.1595709368240275,0.13930122696432137,-0.022607084246191143,0.4747551616527652,0.0005447603041879191,-93.00367669112848,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGN_log,C5SER,148,10,-0.015295317547558588,0.021599326353376268,-0.7081386380907997,0.4788591673781397,-0.08307157768518787,0.08714527277378645,-0.012199189101077383,0.3912430954914984,0.0008455405657381074,17.187653598137558,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,PA_score,C5SER,93,10,0.5212528299873195,0.22409521393730072,2.3260328537545654,0.02001679808511514,0.39722818064557175,0.16854572229378095,0.0454076141905443,0.03765430538774181,0.4076577790384138,-98.64017821095197,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,NA_score,C5SER,93,10,0.022511166762659015,0.07810235864604162,0.2882264652810191,0.7731733916132868,0.04684468618394407,0.6178490811791315,0.003165601523454972,0.6787783158946981,0.029615205657860064,-2.3335399493105626,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,NA_score_log,C5SER,93,10,-0.3076427867341004,0.5522045440469671,-0.5571174486893288,0.577447186715363,0.17823196912585065,0.7898465860354087,-0.012553620862555256,0.816137601742235,1.9706417394334863e-10,-167.9042173439183,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGP,C5SER,148,10,0.2061128314575101,0.1632976763903932,1.2621908407610125,0.20688012371299846,0.05326175868769058,0.7657863307942698,0.027217895157641326,0.22179525316483484,0.04215489866925794,-146.74632255317943,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGN,C5SER,148,10,-0.08951820816456404,0.11005943919816025,-0.8133623868770398,0.4160103177750194,-0.05828619971503278,0.629758234840073,-0.014805312534746215,0.32351449231885887,3.2912895548587253e-10,-92.95889730603858,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGN_log,C5SER,148,10,-0.0438109648245528,0.04966946563546172,-0.8820502549009462,0.3777496313151163,-0.03281834108032327,0.5475426275921271,-0.0074107714839413965,0.2735591136617038,0.00023898647509775905,16.914113784367913,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,PA_score,C5SER,93,10,-0.1432954252005585,0.07679376558197658,-1.8659773240002413,0.06204453811948274,0.08787189234900478,0.5609461836714273,0.1028048203198089,0.07327093513505821,0.37044307845520297,-100.48728550730485,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,NA_score,C5SER,93,10,-0.037999129113577786,0.023214360330846597,-1.636880300470119,0.10165548284450732,-0.1005155280553663,0.03831585457246788,0.029936047254122935,0.08468815721605948,0.035001632603617466,-1.4531502805468506,True,False,lbfgs,sensitivity
