fc_var,persistence_var,n,r,p
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_L,130,0.10274516760980913,0.24473123886068573
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_R,130,-0.15511617302601916,0.07803596268015561
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_bilateral,130,0.011078074111903362,0.9004496161459218
conn_l_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_L,130,-0.089914345308527,0.30899065772737166
conn_l_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_R,130,0.027910235815160014,0.7525994909738848
conn_l_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_bilateral,130,-0.03939263707295951,0.6563341877010977
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_L,128,0.02868005001891827,0.7479369930121619
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_R,128,-0.16025013577360056,0.07077253039022911
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_bilateral,128,-0.04502527521796727,0.6137964193197812
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_L,130,0.05590094853740526,0.5275781649321466
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_R,130,-0.08761164602374136,0.32159470236994975
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_bilateral,130,0.008812631152312733,0.9207326085934323
conn_l_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_L,130,0.07122648502760201,0.42065415411550927
conn_l_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_R,130,-0.021810332430487266,0.805447232593323
conn_l_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_bilateral,130,0.0772329563245838,0.3824495754984073
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_concat_z_L,128,-0.04747178217941597,0.5946474590410395
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_concat_z_R,128,-0.03812714467292873,0.6691730084403891
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_concat_z_bilateral,128,-0.024951132835575582,0.7798118992318995
conn_l_amyg_safety_vs_threat,neg_persist_crossrun_mean_z_L,130,0.050511842614798574,0.5681855592849511
conn_l_amyg_safety_vs_threat,neg_persist_crossrun_mean_z_R,130,-0.0727036606614203,0.4110588342062376
conn_l_amyg_safety_vs_threat,neg_persist_crossrun_mean_z_bilateral,130,0.002368293595191494,0.9786655617094581
conn_l_amyg_safety_vs_threat,pos_persist_crossrun_mean_z_L,130,-0.17697164264122214,0.043985741106319066
conn_l_amyg_safety_vs_threat,pos_persist_crossrun_mean_z_R,130,0.05460318566285093,0.5372216937068929
conn_l_amyg_safety_vs_threat,pos_persist_crossrun_mean_z_bilateral,130,-0.1283964152800832,0.1454373037178296
conn_l_amyg_safety_vs_threat,neg_persist_concat_z_L,128,0.08359400239794529,0.3481808107702288
conn_l_amyg_safety_vs_threat,neg_persist_concat_z_R,128,-0.13338358485033777,0.1333620868498891
conn_l_amyg_safety_vs_threat,neg_persist_concat_z_bilateral,128,-0.021814861522657762,0.806909467227811
conn_r_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_L,130,0.08459862394957618,0.33858058650529593
conn_r_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_R,130,-0.009770561149339656,0.9121490715574772
conn_r_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_bilateral,130,0.07844475197378811,0.3750048850076882
conn_r_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_L,130,-0.1923782329496834,0.028322532315320156
conn_r_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_R,130,0.02890006488727774,0.7441238964002255
conn_r_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_bilateral,130,-0.1266924915977063,0.15089995943688725
conn_r_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_L,128,-0.021558811800864146,0.8091323722687717
conn_r_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_R,128,-0.055443020808711614,0.5342106983135154
conn_r_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_bilateral,128,-0.047669803240620666,0.593109402411871
conn_r_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_L,130,-0.015700354283723163,0.85927779694632
conn_r_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_R,130,-0.16264001645742016,0.06448653024100821
conn_r_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_bilateral,130,-0.07823313194816112,0.37629855879200874
conn_r_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_L,130,-0.08584211532212116,0.33150263014569264
conn_r_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_R,130,-0.1754630962292346,0.04584862258664004
conn_r_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_bilateral,130,-0.1516564450273294,0.08499227900289641
