fc_var,condition,seed_target,persistence_var,n,r,p
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,148,0.04875520703607453,0.556227823420165
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,148,0.06201950127890247,0.4539634759802491
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,0.07299366994730083,0.37796404791437216
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,148,0.036898968168550615,0.6561457139725478
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,148,-0.034202612794964476,0.6798370505201042
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,-0.0006607984703624822,0.9936402899190498
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_concat_z_L,146,0.017888091505213338,0.8303116281806989
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_concat_z_R,146,0.008353877066675133,0.9202852709494872
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,146,0.000660909082877123,0.9936830918669277
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,148,-0.007757146564203579,0.9254499399404291
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,148,0.2153043238814788,0.008589438002178002
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,0.10923569459452209,0.18630127647657302
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,148,0.1884258257760604,0.021822329853685107
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,148,-0.0341789351426401,0.6800465274091184
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,0.10921437438715621,0.18638774861594706
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_concat_z_L,146,0.028952817361001738,0.7286635074568575
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_concat_z_R,146,0.118245519349083,0.15517812766578723
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,146,0.06325732103430139,0.44813298991172973
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,148,0.10427140430792607,0.20723620088043418
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,148,0.03923521641027736,0.6358905694855935
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,0.08958727096298824,0.2788909329347029
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,148,0.09781119581173572,0.23693860192995764
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,148,0.009284025284091939,0.9108314965146871
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,0.07613257009777302,0.3577425250873883
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_concat_z_L,146,0.09142608322995016,0.2724183564904476
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_concat_z_R,146,0.11556121007037681,0.16483662144775615
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,146,0.11469795225635045,0.16803599913964695
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,148,0.05086986468191136,0.5392093338358626
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,148,-0.14871871703293754,0.07123974326874204
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,-0.03838684401678878,0.6432158069136804
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,148,-0.14566380635234985,0.07731441257049054
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,148,0.0018682342056689852,0.9820209069055318
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,-0.10410818048570807,0.20795210907466877
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_concat_z_L,146,-0.011405821722400226,0.8913178127428621
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_concat_z_R,146,-0.10443199931773721,0.20968087939715435
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,146,-0.05927236607304608,0.4772950693050963
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,148,-0.050457376915845314,0.5425086093127248
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,148,0.018977135001176565,0.8189233858617492
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,-0.016314330418060893,0.8439819744000276
