fc_var,affect_var,moderator,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_fc,p_fc,beta_moderator,p_moderator,r_squared,adj_r_squared
conn_l_amyg_ant_vmPFC_neg_vs_neu,PA_score,C5SER,82,-0.08065382122956521,0.12418731598690992,-0.6494529702056416,0.518960058034408,0.366562261582448,0.18163427750537395,0.04751565693339144,0.581244281421154,0.3885991996749615,0.028951670071997726
conn_l_amyg_ant_vmPFC_neg_vs_neu,NA_score,C5SER,82,-0.03698423661667924,0.031968989821914415,-1.1568784882694956,0.25271209153658275,-0.06952009595147582,0.32313267206899654,0.026516336084534246,0.23438188844629285,0.34660280053945447,-0.03774849326086627
conn_l_amyg_ant_vmPFC_neg_vs_neu,NA_score_log,C5SER,82,-0.3827668577138881,0.2799681073085946,-1.36718021703802,0.17756481242461727,-0.9035803406839661,0.14482757705926333,0.2827273371314192,0.1490191280449872,0.40680223749060773,0.05786237719096532
conn_l_amyg_ant_vmPFC_neg_vs_neu,C5SPGP,C5SER,130,-0.14956333769745273,0.08343208607527146,-1.7926357200576097,0.07671902869070987,0.039668317386687524,0.8309809593998544,0.10521194907053204,0.08447758937171118,0.3993332090131053,0.05504858491086073
conn_l_amyg_ant_vmPFC_neg_vs_neu,C5SPGN,C5SER,130,-0.051325770104731494,0.06386399544903895,-0.803673020202557,0.423909476608463,-0.17909318929792567,0.21019287618179608,0.03514967783335926,0.44810623657276716,0.2241232445418213,-0.22058660309884215
conn_l_amyg_ant_vmPFC_neg_vs_neu,C5SPGN_log,C5SER,130,-0.02039575088185135,0.027515596123025524,-0.74124328583177,0.46066350715745374,-0.07116518565888467,0.2474833976351078,0.013564364423292981,0.4967060807134386,0.27787800039811206,-0.13602119449565309
conn_l_amyg_post_vmPFC_neg_vs_neu,PA_score,C5SER,82,0.10529311577406969,0.15106666023860113,0.6969977068915487,0.4889693017592919,0.04545954536062474,0.8707434049098383,-0.0623390953051495,0.4549764665848999,0.3580640423522322,-0.019545344499395823
conn_l_amyg_post_vmPFC_neg_vs_neu,NA_score,C5SER,82,-0.07040076547035866,0.037315956752410034,-1.8866129022890954,0.06491159820130567,-0.040580595221352406,0.5571387577479329,0.03917822697351094,0.061038776999039215,0.3683281398656709,-0.0032435425662873385
conn_l_amyg_post_vmPFC_neg_vs_neu,NA_score_log,C5SER,82,-0.6957759304728214,0.32723175814701805,-2.1262481808389286,0.038343912884426276,-0.8449068194560114,0.1666273753445784,0.3967979719009275,0.03144645282748242,0.42498893863734166,0.08674713783577803
conn_l_amyg_post_vmPFC_neg_vs_neu,C5SPGP,C5SER,130,-0.1655684708550782,0.08888257254572957,-1.8627776639778757,0.0660744727774013,0.024101177466461676,0.8952535013524587,0.09640149511839832,0.07394560890865622,0.4015792419610915,0.058581978207082996
