,daily_diary_full,neuro_full,daily_neuro_overlap,neuro_imaging,imaging_daily_overlap
N,1174,231,137,160,99
Age_mean,67.6,65.1,66.4,64.8,66.6
Age_SD,10.3,9.3,9.3,9.3,9.6
Age_range,47-94,48-95,48-95,48-95,48-95
%Female,57.3,55.0,55.5,58.8,58.6
Educ_mean,7.7,7.6,7.7,7.6,7.7
Educ_SD,2.5,2.5,2.4,2.5,2.4
%Hispanic,96.4,98.3,99.3,97.5,99.0
%White,81.9,69.7,75.2,72.5,78.8
%Black,10.6,23.4,19.7,21.2,18.2
%NativeAmerican,1.4,1.7,2.2,1.2,1.0
%Asian,0.3,1.3,1.5,1.9,2.0
%PacificIslander,0.0,0.0,0.0,0.0,0.0
%Other,5.3,3.9,1.5,3.1,0.0
