table_method,source,ci_low,ci_high,ci_level,ci_sidedness,ci_method,ci_status,predictor,outcome,n,beta,se,t,p,r_squared,adj_r_squared,df_resid,p_two_tailed,r,moderator_ci_low,moderator_ci_high,moderator_ci_level,moderator_ci_sidedness,moderator_ci_method,moderator_ci_status,predictor_ci_low,predictor_ci_high,predictor_ci_level,predictor_ci_sidedness,predictor_ci_method,predictor_ci_status,interaction_ci_low,interaction_ci_high,interaction_ci_level,interaction_ci_sidedness,interaction_ci_method,interaction_ci_status,moderator,beta_interaction,se_interaction,t_interaction,p_interaction,beta_predictor,p_predictor,beta_moderator,p_moderator,analysis_type,motion_covariate,n_groups,z,re_var,log_likelihood,converged,degenerate_re,optimizer
OLS,results/tables/00a_diary_panas/regressions.csv,0.3409211138339864,0.6312961860326215,95.0,two-sided,student_t,ok,PA_score,C5SPGP,136,0.48610864993330394,0.07316196381827883,6.644281052114873,1.721799852013794e-09,0.557404291174637,0.3903018296793468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLS,results/tables/00a_diary_panas/regressions.csv,0.30290004234104334,0.8243334839676746,95.0,two-sided,student_t,ok,NA_score,C5SPGN,136,0.5636167631543589,0.13137868309794784,4.290016841881122,4.194345826230923e-05,0.3446501767429446,0.09722218224793389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLS,results/tables/00a_diary_panas/regressions.csv,0.027131230267438564,0.08730513561911853,95.0,two-sided,student_t,ok,NA_score_log,C5SPGN_log,136,0.057218182943278545,0.01516122252785044,3.7739821335760673,0.00027528170806714143,0.34282043028547005,0.09470161314835157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLS,results/tables/00d_erq_context/age_erq/regressions.csv,-0.022410712902180545,0.014798322041930047,95.0,two-sided,student_t,ok,C5PAGE,C5SER,229,-0.003806195430125248,0.009428807274119823,-0.4036772965518648,0.6869265433108919,0.24206877336223587,0.04525790235684968,181,0.6869265433108919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLS,results/tables/00d_erq_context/age_erq/regressions.csv,-0.0007633272349195953,0.03923288648444151,95.0,two-sided,student_t,ok,C5PAGE,C5SES,229,0.019234779624760955,0.010135081208658239,1.8978416875761182,0.059308663166551624,0.34246571762789835,0.17172477137657916,181,0.059308663166551624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLS,results/tables/00d_erq_context/erq_affect_diary/regressions.csv,-0.10715173225134494,0.12211933364786301,95.0,two-sided,student_t,ok,C5SER,PA_score,135,0.007483800698259033,0.05785095684657093,0.12936347307283352,0.8973041709683012,0.1401300176325797,-0.03804123997508402,111,0.8973041709683012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLS,results/tables/00d_erq_context/erq_affect_diary/regressions.csv,-0.021187156905111283,0.06836336208659874,95.0,two-sided,student_t,ok,C5SER,NA_score,135,0.023588102590743724,0.022595887490028648,1.043911313558847,0.29879457296595474,0.2122351591009478,0.049004606482225155,111,0.29879457296595474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLS,results/tables/00d_erq_context/erq_affect_diary/regressions.csv,-0.02413794618659945,0.4796065752202816,95.0,two-sided,student_t,ok,C5SER,NA_score_log,135,0.2277343145168411,0.12710763329559188,1.791665131449969,0.07591139268706329,0.197477442982112,0.03118898522164859,111,0.07591139268706329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLS,results/tables/00d_erq_context/erq_affect_diary/regressions.csv,-0.17628676190906561,0.05813284094756674,95.0,two-sided,student_t,ok,C5SES,PA_score,135,-0.05907696048074944,0.05915006446915194,-0.9987640928364393,0.32008129778493566,0.14766014810794892,-0.028950812194007636,111,0.32008129778493566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLS,results/tables/00d_erq_context/erq_affect_diary/regressions.csv,-0.05328684660576611,0.03908994779501169,95.0,two-sided,student_t,ok,C5SES,NA_score,135,-0.007098449405377212,0.023309029098566306,-0.30453646848009747,0.7612894363430168,0.2051653170705331,0.040469842229292174,111,0.7612894363430168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
